pid;best;worst;avg;makespan
1;60.0;75.0;65.63;0.49
2;60.0;63.0;61.1;0.49
3;60.0;60.0;60.0;0.49
4;60.0;60.0;60.0;0.49
5;60.0;60.0;60.0;0.49
6;60.0;60.0;60.0;0.49
7;60.0;60.0;60.0;0.49
8;60.0;60.0;60.0;0.49
9;60.0;60.0;60.0;0.49
10;60.0;60.0;60.0;0.49
11;60.0;60.0;60.0;0.49
12;60.0;60.0;60.0;0.49
13;60.0;60.0;60.0;0.49
14;60.0;60.0;60.0;0.49
15;60.0;60.0;60.0;0.49
16;60.0;60.0;60.0;0.49
17;60.0;60.0;60.0;0.49
18;60.0;60.0;60.0;0.49
19;60.0;60.0;60.0;0.49
20;60.0;60.0;60.0;0.49
21;60.0;60.0;60.0;0.49
22;60.0;60.0;60.0;0.49
23;60.0;60.0;60.0;0.49
24;60.0;60.0;60.0;0.49
25;60.0;60.0;60.0;0.49
26;60.0;60.0;60.0;0.49
27;60.0;60.0;60.0;0.49
28;60.0;60.0;60.0;0.49
29;60.0;60.0;60.0;0.49
30;60.0;60.0;60.0;0.49
31;60.0;60.0;60.0;0.49
32;60.0;60.0;60.0;0.49
33;60.0;60.0;60.0;0.49
34;60.0;60.0;60.0;0.49
35;60.0;60.0;60.0;0.49
36;60.0;60.0;60.0;0.49
37;60.0;60.0;60.0;0.49
38;60.0;60.0;60.0;0.49
39;60.0;60.0;60.0;0.49
40;60.0;60.0;60.0;0.49
41;60.0;60.0;60.0;0.49
42;60.0;60.0;60.0;0.49
43;60.0;60.0;60.0;0.49
44;60.0;60.0;60.0;0.49
45;60.0;60.0;60.0;0.49
46;60.0;60.0;60.0;0.49
47;60.0;60.0;60.0;0.49
48;60.0;60.0;60.0;0.49
49;60.0;60.0;60.0;0.49
50;60.0;60.0;60.0;0.49
51;60.0;60.0;60.0;0.49
52;60.0;60.0;60.0;0.49
53;60.0;60.0;60.0;0.49
54;60.0;60.0;60.0;0.49
55;60.0;60.0;60.0;0.49
56;60.0;60.0;60.0;0.49
57;60.0;60.0;60.0;0.49
58;60.0;60.0;60.0;0.49
59;60.0;60.0;60.0;0.49
60;60.0;60.0;60.0;0.49
61;60.0;60.0;60.0;0.49
62;60.0;60.0;60.0;0.49
63;60.0;60.0;60.0;0.49
64;60.0;60.0;60.0;0.49
65;60.0;60.0;60.0;0.49
66;60.0;60.0;60.0;0.49
67;60.0;60.0;60.0;0.49
68;60.0;60.0;60.0;0.49
69;60.0;60.0;60.0;0.49
70;60.0;60.0;60.0;0.49
71;60.0;60.0;60.0;0.49
72;60.0;60.0;60.0;0.49
73;60.0;60.0;60.0;0.49
74;60.0;60.0;60.0;0.49
75;60.0;60.0;60.0;0.49
76;60.0;60.0;60.0;0.49
77;60.0;60.0;60.0;0.49
78;60.0;60.0;60.0;0.49
79;60.0;60.0;60.0;0.49
80;60.0;60.0;60.0;0.49
81;60.0;60.0;60.0;0.49
82;60.0;60.0;60.0;0.49
83;60.0;60.0;60.0;0.49
84;60.0;60.0;60.0;0.49
85;60.0;60.0;60.0;0.49
86;60.0;60.0;60.0;0.49
87;60.0;60.0;60.0;0.49
88;60.0;60.0;60.0;0.49
89;60.0;60.0;60.0;0.49
90;60.0;60.0;60.0;0.49
91;60.0;60.0;60.0;0.49
92;60.0;60.0;60.0;0.49
93;60.0;60.0;60.0;0.49
94;60.0;60.0;60.0;0.49
95;60.0;60.0;60.0;0.49
96;60.0;60.0;60.0;0.49
97;60.0;60.0;60.0;0.49
98;60.0;60.0;60.0;0.49
99;60.0;60.0;60.0;0.49
100;60.0;60.0;60.0;0.49
