pid;best;worst;avg;makespan
1;75.0;84.0;78.7;0.6
2;75.0;79.0;75.87;0.6
3;75.0;77.0;75.07;0.6
4;75.0;75.0;75.0;0.6
5;75.0;75.0;75.0;0.6
6;75.0;75.0;75.0;0.6
7;75.0;75.0;75.0;0.6
8;75.0;75.0;75.0;0.6
9;75.0;75.0;75.0;0.6
10;75.0;75.0;75.0;0.6
11;75.0;75.0;75.0;0.6
12;75.0;75.0;75.0;0.6
13;75.0;75.0;75.0;0.6
14;75.0;75.0;75.0;0.6
15;75.0;75.0;75.0;0.6
16;75.0;75.0;75.0;0.6
17;75.0;75.0;75.0;0.6
18;75.0;75.0;75.0;0.6
19;75.0;75.0;75.0;0.6
20;75.0;75.0;75.0;0.6
21;75.0;75.0;75.0;0.6
22;75.0;75.0;75.0;0.6
23;75.0;75.0;75.0;0.6
24;75.0;75.0;75.0;0.6
25;75.0;75.0;75.0;0.6
26;75.0;75.0;75.0;0.6
27;75.0;75.0;75.0;0.6
28;75.0;75.0;75.0;0.6
29;75.0;75.0;75.0;0.6
30;75.0;75.0;75.0;0.6
31;75.0;75.0;75.0;0.6
32;75.0;75.0;75.0;0.6
33;75.0;75.0;75.0;0.6
34;75.0;75.0;75.0;0.6
35;75.0;75.0;75.0;0.6
36;75.0;75.0;75.0;0.6
37;75.0;75.0;75.0;0.6
38;75.0;75.0;75.0;0.6
39;75.0;75.0;75.0;0.6
40;75.0;75.0;75.0;0.6
41;75.0;75.0;75.0;0.6
42;75.0;75.0;75.0;0.6
43;75.0;75.0;75.0;0.6
44;75.0;75.0;75.0;0.6
45;75.0;75.0;75.0;0.6
46;75.0;75.0;75.0;0.6
47;75.0;75.0;75.0;0.6
48;75.0;75.0;75.0;0.6
49;75.0;75.0;75.0;0.6
50;75.0;75.0;75.0;0.6
51;75.0;75.0;75.0;0.6
52;75.0;75.0;75.0;0.6
53;75.0;75.0;75.0;0.6
54;75.0;75.0;75.0;0.6
55;75.0;75.0;75.0;0.6
56;75.0;75.0;75.0;0.6
57;75.0;75.0;75.0;0.6
58;75.0;75.0;75.0;0.6
59;75.0;75.0;75.0;0.6
60;75.0;75.0;75.0;0.6
61;75.0;75.0;75.0;0.6
62;75.0;75.0;75.0;0.6
63;75.0;75.0;75.0;0.6
64;75.0;75.0;75.0;0.6
65;75.0;75.0;75.0;0.6
66;75.0;75.0;75.0;0.6
67;75.0;75.0;75.0;0.6
68;75.0;75.0;75.0;0.6
69;75.0;75.0;75.0;0.6
70;75.0;75.0;75.0;0.6
71;75.0;75.0;75.0;0.6
72;75.0;75.0;75.0;0.6
73;75.0;75.0;75.0;0.6
74;75.0;75.0;75.0;0.6
75;75.0;75.0;75.0;0.6
76;75.0;75.0;75.0;0.6
77;75.0;75.0;75.0;0.6
78;75.0;75.0;75.0;0.6
79;75.0;75.0;75.0;0.6
80;75.0;75.0;75.0;0.6
81;75.0;75.0;75.0;0.6
82;75.0;75.0;75.0;0.6
83;75.0;75.0;75.0;0.6
84;75.0;75.0;75.0;0.6
85;75.0;75.0;75.0;0.6
86;75.0;75.0;75.0;0.6
87;75.0;75.0;75.0;0.6
88;75.0;75.0;75.0;0.6
89;75.0;75.0;75.0;0.6
90;75.0;75.0;75.0;0.6
91;75.0;75.0;75.0;0.6
92;75.0;75.0;75.0;0.6
93;75.0;75.0;75.0;0.6
94;75.0;75.0;75.0;0.6
95;75.0;75.0;75.0;0.6
96;75.0;75.0;75.0;0.6
97;75.0;75.0;75.0;0.6
98;75.0;75.0;75.0;0.6
99;75.0;75.0;75.0;0.6
100;75.0;75.0;75.0;0.6
