pid;best;worst;avg;makespan
1;72.0;85.0;78.1;0.61
2;72.0;79.0;74.0;0.61
3;72.0;73.0;72.17;0.61
4;72.0;72.0;72.0;0.61
5;72.0;72.0;72.0;0.61
6;72.0;72.0;72.0;0.61
7;72.0;72.0;72.0;0.61
8;72.0;72.0;72.0;0.61
9;72.0;72.0;72.0;0.61
10;72.0;72.0;72.0;0.61
11;72.0;72.0;72.0;0.61
12;72.0;72.0;72.0;0.61
13;72.0;72.0;72.0;0.61
14;72.0;72.0;72.0;0.61
15;72.0;72.0;72.0;0.61
16;72.0;72.0;72.0;0.61
17;72.0;72.0;72.0;0.61
18;72.0;72.0;72.0;0.61
19;72.0;72.0;72.0;0.61
20;72.0;72.0;72.0;0.61
21;72.0;72.0;72.0;0.61
22;72.0;72.0;72.0;0.61
23;72.0;72.0;72.0;0.61
24;72.0;72.0;72.0;0.61
25;72.0;72.0;72.0;0.61
26;72.0;72.0;72.0;0.61
27;72.0;72.0;72.0;0.61
28;72.0;72.0;72.0;0.61
29;72.0;72.0;72.0;0.61
30;72.0;72.0;72.0;0.61
31;72.0;72.0;72.0;0.61
32;72.0;72.0;72.0;0.61
33;72.0;72.0;72.0;0.61
34;72.0;72.0;72.0;0.61
35;72.0;72.0;72.0;0.61
36;72.0;72.0;72.0;0.61
37;72.0;72.0;72.0;0.61
38;72.0;72.0;72.0;0.61
39;72.0;72.0;72.0;0.61
40;72.0;72.0;72.0;0.61
41;72.0;72.0;72.0;0.61
42;72.0;72.0;72.0;0.61
43;72.0;72.0;72.0;0.61
44;72.0;72.0;72.0;0.61
45;72.0;72.0;72.0;0.61
46;72.0;72.0;72.0;0.61
47;72.0;72.0;72.0;0.61
48;72.0;72.0;72.0;0.61
49;72.0;72.0;72.0;0.61
50;72.0;72.0;72.0;0.61
51;72.0;72.0;72.0;0.61
52;72.0;72.0;72.0;0.61
53;72.0;72.0;72.0;0.61
54;72.0;72.0;72.0;0.61
55;72.0;72.0;72.0;0.61
56;72.0;72.0;72.0;0.61
57;72.0;72.0;72.0;0.61
58;72.0;72.0;72.0;0.61
59;72.0;72.0;72.0;0.61
60;72.0;72.0;72.0;0.61
61;72.0;72.0;72.0;0.61
62;72.0;72.0;72.0;0.61
63;72.0;72.0;72.0;0.61
64;72.0;72.0;72.0;0.61
65;72.0;72.0;72.0;0.61
66;72.0;72.0;72.0;0.61
67;72.0;72.0;72.0;0.61
68;72.0;72.0;72.0;0.61
69;72.0;72.0;72.0;0.61
70;72.0;72.0;72.0;0.61
71;72.0;72.0;72.0;0.61
72;72.0;72.0;72.0;0.61
73;72.0;72.0;72.0;0.61
74;72.0;72.0;72.0;0.61
75;72.0;72.0;72.0;0.61
76;72.0;72.0;72.0;0.61
77;72.0;72.0;72.0;0.61
78;72.0;72.0;72.0;0.61
79;72.0;72.0;72.0;0.61
80;72.0;72.0;72.0;0.61
81;72.0;72.0;72.0;0.61
82;72.0;72.0;72.0;0.61
83;72.0;72.0;72.0;0.61
84;72.0;72.0;72.0;0.61
85;72.0;72.0;72.0;0.61
86;72.0;72.0;72.0;0.61
87;72.0;72.0;72.0;0.61
88;72.0;72.0;72.0;0.61
89;72.0;72.0;72.0;0.61
90;72.0;72.0;72.0;0.61
91;72.0;72.0;72.0;0.61
92;72.0;72.0;72.0;0.61
93;72.0;72.0;72.0;0.61
94;72.0;72.0;72.0;0.61
95;72.0;72.0;72.0;0.61
96;72.0;72.0;72.0;0.61
97;72.0;72.0;72.0;0.61
98;72.0;72.0;72.0;0.61
99;72.0;72.0;72.0;0.61
100;72.0;72.0;72.0;0.61
