pid;best;worst;avg;makespan
1;75.0;92.0;81.2;0.61
2;75.0;81.0;76.93;0.61
3;75.0;75.0;75.0;0.61
4;75.0;75.0;75.0;0.61
5;75.0;75.0;75.0;0.61
6;75.0;75.0;75.0;0.61
7;75.0;75.0;75.0;0.61
8;75.0;75.0;75.0;0.61
9;75.0;75.0;75.0;0.61
10;75.0;75.0;75.0;0.61
11;75.0;75.0;75.0;0.61
12;75.0;75.0;75.0;0.61
13;75.0;75.0;75.0;0.61
14;75.0;75.0;75.0;0.61
15;75.0;75.0;75.0;0.61
16;75.0;75.0;75.0;0.61
17;75.0;75.0;75.0;0.61
18;75.0;75.0;75.0;0.61
19;75.0;75.0;75.0;0.61
20;75.0;75.0;75.0;0.61
21;75.0;75.0;75.0;0.61
22;75.0;75.0;75.0;0.61
23;75.0;75.0;75.0;0.61
24;75.0;75.0;75.0;0.61
25;75.0;75.0;75.0;0.61
26;75.0;75.0;75.0;0.61
27;75.0;75.0;75.0;0.61
28;75.0;75.0;75.0;0.61
29;75.0;75.0;75.0;0.61
30;75.0;75.0;75.0;0.61
31;75.0;75.0;75.0;0.61
32;75.0;75.0;75.0;0.61
33;75.0;75.0;75.0;0.61
34;75.0;75.0;75.0;0.61
35;75.0;75.0;75.0;0.61
36;75.0;75.0;75.0;0.61
37;75.0;75.0;75.0;0.61
38;75.0;75.0;75.0;0.61
39;75.0;75.0;75.0;0.61
40;75.0;75.0;75.0;0.61
41;75.0;75.0;75.0;0.61
42;75.0;75.0;75.0;0.61
43;75.0;75.0;75.0;0.61
44;75.0;75.0;75.0;0.61
45;75.0;75.0;75.0;0.61
46;75.0;75.0;75.0;0.61
47;75.0;75.0;75.0;0.61
48;75.0;75.0;75.0;0.61
49;75.0;75.0;75.0;0.61
50;75.0;75.0;75.0;0.61
51;75.0;75.0;75.0;0.61
52;75.0;75.0;75.0;0.61
53;75.0;75.0;75.0;0.61
54;75.0;75.0;75.0;0.61
55;75.0;75.0;75.0;0.61
56;75.0;75.0;75.0;0.61
57;75.0;75.0;75.0;0.61
58;75.0;75.0;75.0;0.61
59;75.0;75.0;75.0;0.61
60;75.0;75.0;75.0;0.61
61;75.0;75.0;75.0;0.61
62;75.0;75.0;75.0;0.61
63;75.0;75.0;75.0;0.61
64;75.0;75.0;75.0;0.61
65;75.0;75.0;75.0;0.61
66;75.0;75.0;75.0;0.61
67;75.0;75.0;75.0;0.61
68;75.0;75.0;75.0;0.61
69;75.0;75.0;75.0;0.61
70;75.0;75.0;75.0;0.61
71;75.0;75.0;75.0;0.61
72;75.0;75.0;75.0;0.61
73;75.0;75.0;75.0;0.61
74;75.0;75.0;75.0;0.61
75;75.0;75.0;75.0;0.61
76;75.0;75.0;75.0;0.61
77;75.0;75.0;75.0;0.61
78;75.0;75.0;75.0;0.61
79;75.0;75.0;75.0;0.61
80;75.0;75.0;75.0;0.61
81;75.0;75.0;75.0;0.61
82;75.0;75.0;75.0;0.61
83;75.0;75.0;75.0;0.61
84;75.0;75.0;75.0;0.61
85;75.0;75.0;75.0;0.61
86;75.0;75.0;75.0;0.61
87;75.0;75.0;75.0;0.61
88;75.0;75.0;75.0;0.61
89;75.0;75.0;75.0;0.61
90;75.0;75.0;75.0;0.61
91;75.0;75.0;75.0;0.61
92;75.0;75.0;75.0;0.61
93;75.0;75.0;75.0;0.61
94;75.0;75.0;75.0;0.61
95;75.0;75.0;75.0;0.61
96;75.0;75.0;75.0;0.61
97;75.0;75.0;75.0;0.61
98;75.0;75.0;75.0;0.61
99;75.0;75.0;75.0;0.61
100;75.0;75.0;75.0;0.61
