pid;best;worst;avg;avgConflicts
0;70.0;99.0;84.13;0
1;70.0;82.0;75.53;1
2;70.0;77.0;71.4;1
3;70.0;70.0;70.0;1
4;70.0;70.0;70.0;0
5;70.0;70.0;70.0;1
6;70.0;70.0;70.0;1
7;70.0;70.0;70.0;0
8;70.0;70.0;70.0;0
9;70.0;70.0;70.0;0
10;70.0;70.0;70.0;0
11;70.0;70.0;70.0;0
12;70.0;70.0;70.0;0
13;70.0;70.0;70.0;0
14;70.0;70.0;70.0;0
15;70.0;70.0;70.0;0
16;70.0;70.0;70.0;0
17;70.0;70.0;70.0;1
18;70.0;70.0;70.0;1
19;70.0;70.0;70.0;0
20;70.0;70.0;70.0;0
21;70.0;70.0;70.0;0
22;70.0;70.0;70.0;0
23;70.0;70.0;70.0;0
24;70.0;70.0;70.0;0
25;70.0;70.0;70.0;0
26;70.0;70.0;70.0;0
27;70.0;70.0;70.0;0
28;70.0;70.0;70.0;0
29;70.0;70.0;70.0;0
30;70.0;70.0;70.0;0
31;70.0;70.0;70.0;0
32;70.0;70.0;70.0;0
33;70.0;70.0;70.0;0
34;70.0;70.0;70.0;1
35;70.0;70.0;70.0;1
36;70.0;70.0;70.0;1
37;70.0;70.0;70.0;1
38;70.0;70.0;70.0;1
39;70.0;70.0;70.0;1
40;70.0;70.0;70.0;1
41;70.0;70.0;70.0;1
42;70.0;70.0;70.0;1
43;70.0;70.0;70.0;1
44;70.0;70.0;70.0;1
45;70.0;70.0;70.0;1
46;70.0;70.0;70.0;2
47;70.0;70.0;70.0;2
48;70.0;70.0;70.0;2
49;70.0;70.0;70.0;2
50;70.0;70.0;70.0;2
51;70.0;70.0;70.0;2
52;70.0;70.0;70.0;2
53;70.0;70.0;70.0;2
54;70.0;70.0;70.0;2
55;70.0;70.0;70.0;2
56;70.0;70.0;70.0;2
57;70.0;70.0;70.0;1
58;70.0;70.0;70.0;1
59;70.0;70.0;70.0;2
60;70.0;70.0;70.0;2
61;70.0;70.0;70.0;2
62;70.0;70.0;70.0;2
63;70.0;70.0;70.0;2
64;70.0;70.0;70.0;2
65;70.0;70.0;70.0;2
66;70.0;70.0;70.0;2
67;70.0;70.0;70.0;2
68;70.0;70.0;70.0;2
69;70.0;70.0;70.0;2
70;70.0;70.0;70.0;2
71;70.0;70.0;70.0;2
72;70.0;70.0;70.0;2
73;70.0;70.0;70.0;2
74;70.0;70.0;70.0;2
75;70.0;70.0;70.0;2
76;70.0;70.0;70.0;2
77;70.0;70.0;70.0;2
78;70.0;70.0;70.0;3
79;70.0;70.0;70.0;3
80;70.0;70.0;70.0;3
81;70.0;70.0;70.0;4
82;70.0;70.0;70.0;4
83;70.0;70.0;70.0;4
84;70.0;70.0;70.0;4
85;70.0;70.0;70.0;4
86;70.0;70.0;70.0;4
87;70.0;70.0;70.0;4
88;70.0;70.0;70.0;4
89;70.0;70.0;70.0;4
90;70.0;70.0;70.0;4
91;70.0;70.0;70.0;4
92;70.0;70.0;70.0;4
93;70.0;70.0;70.0;4
94;70.0;70.0;70.0;4
95;70.0;70.0;70.0;4
96;70.0;70.0;70.0;4
97;70.0;70.0;70.0;7
98;70.0;70.0;70.0;7
99;70.0;70.0;70.0;7
100;70.0;70.0;70.0;7
