pid;best;worst;avg;avgConflicts
0;71.0;97.0;81.67;0
1;71.0;83.0;74.63;2
2;71.0;74.0;71.83;1
3;71.0;72.0;71.1;1
4;71.0;71.0;71.0;1
5;71.0;71.0;71.0;1
6;71.0;71.0;71.0;2
7;71.0;71.0;71.0;1
8;71.0;71.0;71.0;1
9;71.0;71.0;71.0;1
10;71.0;71.0;71.0;1
11;71.0;71.0;71.0;1
12;71.0;71.0;71.0;1
13;71.0;71.0;71.0;1
14;71.0;71.0;71.0;2
15;71.0;71.0;71.0;1
16;71.0;71.0;71.0;3
17;71.0;71.0;71.0;3
18;71.0;71.0;71.0;3
19;71.0;71.0;71.0;3
20;71.0;71.0;71.0;3
21;71.0;71.0;71.0;3
22;71.0;71.0;71.0;3
23;71.0;71.0;71.0;3
24;71.0;71.0;71.0;3
25;71.0;71.0;71.0;3
26;71.0;71.0;71.0;3
27;71.0;71.0;71.0;3
28;71.0;71.0;71.0;3
29;71.0;71.0;71.0;3
30;71.0;71.0;71.0;2
31;71.0;71.0;71.0;2
32;71.0;71.0;71.0;3
33;71.0;71.0;71.0;4
34;71.0;71.0;71.0;4
35;71.0;71.0;71.0;4
36;71.0;71.0;71.0;4
37;71.0;71.0;71.0;4
38;71.0;71.0;71.0;3
39;71.0;71.0;71.0;3
40;71.0;71.0;71.0;3
41;71.0;71.0;71.0;3
42;71.0;71.0;71.0;3
43;71.0;71.0;71.0;3
44;71.0;71.0;71.0;3
45;71.0;71.0;71.0;3
46;71.0;71.0;71.0;3
47;71.0;71.0;71.0;3
48;71.0;71.0;71.0;3
49;71.0;71.0;71.0;3
50;71.0;71.0;71.0;3
51;71.0;71.0;71.0;3
52;71.0;71.0;71.0;3
53;71.0;71.0;71.0;3
54;71.0;71.0;71.0;3
55;71.0;71.0;71.0;3
56;71.0;71.0;71.0;3
57;71.0;71.0;71.0;3
58;71.0;71.0;71.0;3
59;71.0;71.0;71.0;3
60;71.0;71.0;71.0;3
61;71.0;71.0;71.0;3
62;71.0;71.0;71.0;4
63;71.0;71.0;71.0;4
64;71.0;71.0;71.0;4
65;71.0;71.0;71.0;4
66;71.0;71.0;71.0;3
67;71.0;71.0;71.0;3
68;71.0;71.0;71.0;3
69;71.0;71.0;71.0;3
70;71.0;71.0;71.0;3
71;71.0;71.0;71.0;3
72;71.0;71.0;71.0;3
73;71.0;71.0;71.0;3
74;71.0;71.0;71.0;3
75;71.0;71.0;71.0;3
76;71.0;71.0;71.0;3
77;71.0;71.0;71.0;3
78;71.0;71.0;71.0;3
79;71.0;71.0;71.0;3
80;71.0;71.0;71.0;3
81;71.0;71.0;71.0;3
82;71.0;71.0;71.0;3
83;71.0;71.0;71.0;3
84;71.0;71.0;71.0;3
85;71.0;71.0;71.0;5
86;71.0;71.0;71.0;5
87;71.0;71.0;71.0;4
88;71.0;71.0;71.0;4
89;71.0;71.0;71.0;4
90;71.0;71.0;71.0;3
91;71.0;71.0;71.0;3
92;71.0;71.0;71.0;3
93;71.0;71.0;71.0;3
94;71.0;71.0;71.0;4
95;71.0;71.0;71.0;5
96;71.0;71.0;71.0;5
97;71.0;71.0;71.0;5
98;71.0;71.0;71.0;5
99;71.0;71.0;71.0;5
100;71.0;71.0;71.0;5
