pid;best;worst;avg;makespan
1;53.0;75.0;62.87;0.55
2;53.0;65.0;54.77;0.55
3;53.0;53.0;53.0;0.55
4;53.0;53.0;53.0;0.55
5;53.0;53.0;53.0;0.55
6;53.0;53.0;53.0;0.55
7;53.0;53.0;53.0;0.55
8;53.0;53.0;53.0;0.55
9;53.0;53.0;53.0;0.55
10;53.0;53.0;53.0;0.55
11;53.0;53.0;53.0;0.55
12;53.0;53.0;53.0;0.55
13;53.0;53.0;53.0;0.55
14;53.0;53.0;53.0;0.55
15;53.0;53.0;53.0;0.55
16;53.0;53.0;53.0;0.55
17;53.0;53.0;53.0;0.55
18;53.0;53.0;53.0;0.55
19;53.0;53.0;53.0;0.55
20;53.0;53.0;53.0;0.55
21;53.0;53.0;53.0;0.55
22;53.0;53.0;53.0;0.55
23;53.0;53.0;53.0;0.55
24;53.0;53.0;53.0;0.55
25;53.0;53.0;53.0;0.55
26;53.0;53.0;53.0;0.55
27;53.0;53.0;53.0;0.55
28;53.0;53.0;53.0;0.55
29;53.0;53.0;53.0;0.55
30;53.0;53.0;53.0;0.55
31;53.0;53.0;53.0;0.55
32;53.0;53.0;53.0;0.55
33;53.0;53.0;53.0;0.55
34;53.0;53.0;53.0;0.55
35;53.0;53.0;53.0;0.55
36;53.0;53.0;53.0;0.55
37;53.0;53.0;53.0;0.55
38;53.0;53.0;53.0;0.55
39;53.0;53.0;53.0;0.55
40;53.0;53.0;53.0;0.55
41;53.0;53.0;53.0;0.55
42;53.0;53.0;53.0;0.55
43;53.0;53.0;53.0;0.55
44;53.0;53.0;53.0;0.55
45;53.0;53.0;53.0;0.55
46;53.0;53.0;53.0;0.55
47;53.0;53.0;53.0;0.55
48;53.0;53.0;53.0;0.55
49;53.0;53.0;53.0;0.55
50;53.0;53.0;53.0;0.55
51;53.0;53.0;53.0;0.55
52;53.0;53.0;53.0;0.55
53;53.0;53.0;53.0;0.55
54;53.0;53.0;53.0;0.55
55;53.0;53.0;53.0;0.55
56;53.0;53.0;53.0;0.55
57;53.0;53.0;53.0;0.55
58;53.0;53.0;53.0;0.55
59;53.0;53.0;53.0;0.55
60;53.0;53.0;53.0;0.55
61;53.0;53.0;53.0;0.55
62;53.0;53.0;53.0;0.55
63;53.0;53.0;53.0;0.55
64;53.0;53.0;53.0;0.55
65;53.0;53.0;53.0;0.55
66;53.0;53.0;53.0;0.55
67;53.0;53.0;53.0;0.55
68;53.0;53.0;53.0;0.55
69;53.0;53.0;53.0;0.55
70;53.0;53.0;53.0;0.55
71;53.0;53.0;53.0;0.55
72;53.0;53.0;53.0;0.55
73;53.0;53.0;53.0;0.55
74;53.0;53.0;53.0;0.55
75;53.0;53.0;53.0;0.55
76;53.0;53.0;53.0;0.55
77;53.0;53.0;53.0;0.55
78;53.0;53.0;53.0;0.55
79;53.0;53.0;53.0;0.55
80;53.0;53.0;53.0;0.55
81;53.0;53.0;53.0;0.55
82;53.0;53.0;53.0;0.55
83;53.0;53.0;53.0;0.55
84;53.0;53.0;53.0;0.55
85;53.0;53.0;53.0;0.55
86;53.0;53.0;53.0;0.55
87;53.0;53.0;53.0;0.55
88;53.0;53.0;53.0;0.55
89;53.0;53.0;53.0;0.55
90;53.0;53.0;53.0;0.55
91;53.0;53.0;53.0;0.55
92;53.0;53.0;53.0;0.55
93;53.0;53.0;53.0;0.55
94;53.0;53.0;53.0;0.55
95;53.0;53.0;53.0;0.55
96;53.0;53.0;53.0;0.55
97;53.0;53.0;53.0;0.55
98;53.0;53.0;53.0;0.55
99;53.0;53.0;53.0;0.55
100;53.0;53.0;53.0;0.55
