pid;best;worst;avg;makespan
1;77.0;86.0;81.53;0.63
2;77.0;84.0;77.73;0.63
3;77.0;77.0;77.0;0.63
4;77.0;77.0;77.0;0.63
5;77.0;77.0;77.0;0.63
6;77.0;77.0;77.0;0.63
7;77.0;77.0;77.0;0.63
8;77.0;77.0;77.0;0.63
9;77.0;77.0;77.0;0.63
10;77.0;77.0;77.0;0.63
11;77.0;77.0;77.0;0.63
12;77.0;77.0;77.0;0.63
13;77.0;77.0;77.0;0.63
14;77.0;77.0;77.0;0.63
15;77.0;77.0;77.0;0.63
16;77.0;77.0;77.0;0.63
17;77.0;77.0;77.0;0.63
18;77.0;77.0;77.0;0.63
19;77.0;77.0;77.0;0.63
20;77.0;77.0;77.0;0.63
21;77.0;77.0;77.0;0.63
22;77.0;77.0;77.0;0.63
23;77.0;77.0;77.0;0.63
24;77.0;77.0;77.0;0.63
25;77.0;77.0;77.0;0.63
26;77.0;77.0;77.0;0.63
27;77.0;77.0;77.0;0.63
28;77.0;77.0;77.0;0.63
29;77.0;77.0;77.0;0.63
30;77.0;77.0;77.0;0.63
31;77.0;77.0;77.0;0.63
32;77.0;77.0;77.0;0.63
33;77.0;77.0;77.0;0.63
34;77.0;77.0;77.0;0.63
35;77.0;77.0;77.0;0.63
36;77.0;77.0;77.0;0.63
37;77.0;77.0;77.0;0.63
38;77.0;77.0;77.0;0.63
39;77.0;77.0;77.0;0.63
40;77.0;77.0;77.0;0.63
41;77.0;77.0;77.0;0.63
42;77.0;77.0;77.0;0.63
43;77.0;77.0;77.0;0.63
44;77.0;77.0;77.0;0.63
45;77.0;77.0;77.0;0.63
46;77.0;77.0;77.0;0.63
47;77.0;77.0;77.0;0.63
48;77.0;77.0;77.0;0.63
49;77.0;77.0;77.0;0.63
50;77.0;77.0;77.0;0.63
51;77.0;77.0;77.0;0.63
52;77.0;77.0;77.0;0.63
53;77.0;77.0;77.0;0.63
54;77.0;77.0;77.0;0.63
55;77.0;77.0;77.0;0.63
56;77.0;77.0;77.0;0.63
57;77.0;77.0;77.0;0.63
58;77.0;77.0;77.0;0.63
59;77.0;77.0;77.0;0.63
60;77.0;77.0;77.0;0.63
61;77.0;77.0;77.0;0.63
62;77.0;77.0;77.0;0.63
63;77.0;77.0;77.0;0.63
64;77.0;77.0;77.0;0.63
65;77.0;77.0;77.0;0.63
66;77.0;77.0;77.0;0.63
67;77.0;77.0;77.0;0.63
68;77.0;77.0;77.0;0.63
69;77.0;77.0;77.0;0.63
70;77.0;77.0;77.0;0.63
71;77.0;77.0;77.0;0.63
72;77.0;77.0;77.0;0.63
73;77.0;77.0;77.0;0.63
74;77.0;77.0;77.0;0.63
75;77.0;77.0;77.0;0.63
76;77.0;77.0;77.0;0.63
77;77.0;77.0;77.0;0.63
78;77.0;77.0;77.0;0.63
79;77.0;77.0;77.0;0.63
80;77.0;77.0;77.0;0.63
81;77.0;77.0;77.0;0.63
82;77.0;77.0;77.0;0.63
83;77.0;77.0;77.0;0.63
84;77.0;77.0;77.0;0.63
85;77.0;77.0;77.0;0.63
86;77.0;77.0;77.0;0.63
87;77.0;77.0;77.0;0.63
88;77.0;77.0;77.0;0.63
89;77.0;77.0;77.0;0.63
90;77.0;77.0;77.0;0.63
91;77.0;77.0;77.0;0.63
92;77.0;77.0;77.0;0.63
93;77.0;77.0;77.0;0.63
94;77.0;77.0;77.0;0.63
95;77.0;77.0;77.0;0.63
96;77.0;77.0;77.0;0.63
97;77.0;77.0;77.0;0.63
98;77.0;77.0;77.0;0.63
99;77.0;77.0;77.0;0.63
100;77.0;77.0;77.0;0.63
