pid;best;worst;avg;makespan
1;64.0;86.0;72.31;0.58
2;64.0;74.0;67.5;0.58
3;64.0;69.0;64.77;0.58
4;64.0;65.0;64.05;0.58
5;64.0;64.0;64.0;0.58
6;64.0;64.0;64.0;0.58
7;64.0;64.0;64.0;0.58
8;64.0;64.0;64.0;0.58
9;64.0;64.0;64.0;0.58
10;64.0;64.0;64.0;0.58
11;64.0;64.0;64.0;0.58
12;64.0;64.0;64.0;0.58
13;64.0;64.0;64.0;0.58
14;64.0;64.0;64.0;0.58
15;64.0;64.0;64.0;0.58
16;64.0;64.0;64.0;0.58
17;64.0;64.0;64.0;0.58
18;64.0;64.0;64.0;0.58
19;64.0;64.0;64.0;0.58
20;64.0;64.0;64.0;0.58
21;64.0;64.0;64.0;0.58
22;64.0;64.0;64.0;0.58
23;64.0;64.0;64.0;0.58
24;64.0;64.0;64.0;0.58
25;64.0;64.0;64.0;0.58
26;64.0;64.0;64.0;0.58
27;64.0;64.0;64.0;0.58
28;64.0;64.0;64.0;0.58
29;64.0;64.0;64.0;0.58
30;64.0;64.0;64.0;0.58
31;64.0;64.0;64.0;0.58
32;64.0;64.0;64.0;0.58
33;64.0;64.0;64.0;0.58
34;64.0;64.0;64.0;0.58
35;64.0;64.0;64.0;0.58
36;64.0;64.0;64.0;0.58
37;64.0;64.0;64.0;0.58
38;64.0;64.0;64.0;0.58
39;64.0;64.0;64.0;0.58
40;64.0;64.0;64.0;0.58
41;64.0;64.0;64.0;0.58
42;64.0;64.0;64.0;0.58
43;64.0;64.0;64.0;0.58
44;64.0;64.0;64.0;0.58
45;64.0;64.0;64.0;0.58
46;64.0;64.0;64.0;0.58
47;64.0;64.0;64.0;0.58
48;64.0;64.0;64.0;0.58
49;64.0;64.0;64.0;0.58
50;64.0;64.0;64.0;0.58
51;64.0;64.0;64.0;0.58
52;64.0;64.0;64.0;0.58
53;64.0;64.0;64.0;0.58
54;64.0;64.0;64.0;0.58
55;64.0;64.0;64.0;0.58
56;64.0;64.0;64.0;0.58
57;64.0;64.0;64.0;0.58
58;64.0;64.0;64.0;0.58
59;64.0;64.0;64.0;0.58
60;64.0;64.0;64.0;0.58
61;64.0;64.0;64.0;0.58
62;64.0;64.0;64.0;0.58
63;64.0;64.0;64.0;0.58
64;64.0;64.0;64.0;0.58
65;64.0;64.0;64.0;0.58
66;64.0;64.0;64.0;0.58
67;64.0;64.0;64.0;0.58
68;64.0;64.0;64.0;0.58
69;64.0;64.0;64.0;0.58
70;64.0;64.0;64.0;0.58
71;64.0;64.0;64.0;0.58
72;64.0;64.0;64.0;0.58
73;64.0;64.0;64.0;0.58
74;64.0;64.0;64.0;0.58
75;64.0;64.0;64.0;0.58
76;64.0;64.0;64.0;0.58
77;64.0;64.0;64.0;0.58
78;64.0;64.0;64.0;0.58
79;64.0;64.0;64.0;0.58
80;64.0;64.0;64.0;0.58
81;64.0;64.0;64.0;0.58
82;64.0;64.0;64.0;0.58
83;64.0;64.0;64.0;0.58
84;64.0;64.0;64.0;0.58
85;64.0;64.0;64.0;0.58
86;64.0;64.0;64.0;0.58
87;64.0;64.0;64.0;0.58
88;64.0;64.0;64.0;0.58
89;64.0;64.0;64.0;0.58
90;64.0;64.0;64.0;0.58
91;64.0;64.0;64.0;0.58
92;64.0;64.0;64.0;0.58
93;64.0;64.0;64.0;0.58
94;64.0;64.0;64.0;0.58
95;64.0;64.0;64.0;0.58
96;64.0;64.0;64.0;0.58
97;64.0;64.0;64.0;0.58
98;64.0;64.0;64.0;0.58
99;64.0;64.0;64.0;0.58
100;64.0;64.0;64.0;0.58
