pid;best;worst;avg;avgConflicts
0;71.0;109.0;90.46;0
1;71.0;96.0;82.97;0
2;71.0;84.0;78.42;2
3;71.0;80.0;73.77;3
4;71.0;77.0;71.09;3
5;71.0;71.0;71.0;5
6;71.0;71.0;71.0;6
7;71.0;71.0;71.0;5
8;71.0;71.0;71.0;7
9;71.0;71.0;71.0;5
10;71.0;71.0;71.0;7
11;71.0;71.0;71.0;8
12;71.0;71.0;71.0;11
13;71.0;71.0;71.0;8
14;71.0;71.0;71.0;6
15;71.0;71.0;71.0;9
16;71.0;71.0;71.0;9
17;71.0;71.0;71.0;6
18;71.0;71.0;71.0;5
19;71.0;71.0;71.0;5
20;71.0;71.0;71.0;5
21;71.0;71.0;71.0;10
22;71.0;71.0;71.0;8
23;71.0;71.0;71.0;9
24;71.0;71.0;71.0;11
25;71.0;71.0;71.0;10
26;71.0;71.0;71.0;7
27;71.0;71.0;71.0;6
28;71.0;71.0;71.0;10
29;71.0;71.0;71.0;10
30;71.0;71.0;71.0;13
31;71.0;71.0;71.0;9
32;71.0;71.0;71.0;10
33;71.0;71.0;71.0;18
34;71.0;71.0;71.0;22
35;71.0;71.0;71.0;18
36;71.0;71.0;71.0;18
37;71.0;71.0;71.0;23
38;71.0;71.0;71.0;15
39;71.0;71.0;71.0;15
40;71.0;71.0;71.0;19
41;71.0;71.0;71.0;12
42;71.0;71.0;71.0;11
43;71.0;71.0;71.0;7
44;71.0;71.0;71.0;11
45;71.0;71.0;71.0;15
46;71.0;71.0;71.0;12
47;71.0;71.0;71.0;11
48;71.0;71.0;71.0;12
49;71.0;71.0;71.0;12
50;71.0;71.0;71.0;12
51;71.0;71.0;71.0;20
52;71.0;71.0;71.0;16
53;71.0;71.0;71.0;17
54;71.0;71.0;71.0;21
55;71.0;71.0;71.0;16
56;71.0;71.0;71.0;24
57;71.0;71.0;71.0;21
58;71.0;71.0;71.0;21
59;71.0;71.0;71.0;22
60;71.0;71.0;71.0;21
61;71.0;71.0;71.0;21
62;71.0;71.0;71.0;21
63;71.0;71.0;71.0;23
64;71.0;71.0;71.0;23
65;71.0;71.0;71.0;31
66;71.0;71.0;71.0;23
67;71.0;71.0;71.0;23
68;71.0;71.0;71.0;23
69;71.0;71.0;71.0;23
70;71.0;71.0;71.0;15
71;71.0;71.0;71.0;24
72;71.0;71.0;71.0;27
73;71.0;71.0;71.0;19
74;71.0;71.0;71.0;23
75;71.0;71.0;71.0;19
76;71.0;71.0;71.0;15
77;71.0;71.0;71.0;23
78;71.0;71.0;71.0;27
79;71.0;71.0;71.0;23
80;71.0;71.0;71.0;23
81;71.0;71.0;71.0;23
82;71.0;71.0;71.0;26
83;71.0;71.0;71.0;22
84;71.0;71.0;71.0;18
85;71.0;71.0;71.0;27
86;71.0;71.0;71.0;23
87;71.0;71.0;71.0;27
88;71.0;71.0;71.0;31
89;71.0;71.0;71.0;39
90;71.0;71.0;71.0;35
91;71.0;71.0;71.0;35
92;71.0;71.0;71.0;27
93;71.0;71.0;71.0;31
94;71.0;71.0;71.0;27
95;71.0;71.0;71.0;32
96;71.0;71.0;71.0;26
97;71.0;71.0;71.0;26
98;71.0;71.0;71.0;25
99;71.0;71.0;71.0;25
100;71.0;71.0;71.0;24
