pid;best;worst;avg;makespan
1;68.0;92.0;79.38;0.56
2;68.0;86.0;73.85;0.56
3;68.0;75.0;70.49;0.56
4;68.0;71.0;68.5;0.56
5;68.0;68.0;68.0;0.56
6;68.0;68.0;68.0;0.56
7;68.0;68.0;68.0;0.56
8;68.0;68.0;68.0;0.56
9;68.0;68.0;68.0;0.56
10;68.0;68.0;68.0;0.56
11;68.0;68.0;68.0;0.56
12;68.0;68.0;68.0;0.56
13;68.0;68.0;68.0;0.56
14;68.0;68.0;68.0;0.56
15;68.0;68.0;68.0;0.56
16;68.0;68.0;68.0;0.56
17;68.0;68.0;68.0;0.56
18;68.0;68.0;68.0;0.56
19;68.0;68.0;68.0;0.56
20;68.0;68.0;68.0;0.56
21;68.0;68.0;68.0;0.56
22;68.0;68.0;68.0;0.56
23;68.0;68.0;68.0;0.56
24;68.0;68.0;68.0;0.56
25;68.0;68.0;68.0;0.56
26;68.0;68.0;68.0;0.56
27;68.0;68.0;68.0;0.56
28;68.0;68.0;68.0;0.56
29;68.0;68.0;68.0;0.56
30;68.0;68.0;68.0;0.56
31;68.0;68.0;68.0;0.56
32;68.0;68.0;68.0;0.56
33;68.0;68.0;68.0;0.56
34;68.0;68.0;68.0;0.56
35;68.0;68.0;68.0;0.56
36;68.0;68.0;68.0;0.56
37;68.0;68.0;68.0;0.56
38;68.0;68.0;68.0;0.56
39;68.0;68.0;68.0;0.56
40;68.0;68.0;68.0;0.56
41;68.0;68.0;68.0;0.56
42;68.0;68.0;68.0;0.56
43;68.0;68.0;68.0;0.56
44;68.0;68.0;68.0;0.56
45;68.0;68.0;68.0;0.56
46;68.0;68.0;68.0;0.56
47;68.0;68.0;68.0;0.56
48;68.0;68.0;68.0;0.56
49;68.0;68.0;68.0;0.56
50;68.0;68.0;68.0;0.56
51;68.0;68.0;68.0;0.56
52;68.0;68.0;68.0;0.56
53;68.0;68.0;68.0;0.56
54;68.0;68.0;68.0;0.56
55;68.0;68.0;68.0;0.56
56;68.0;68.0;68.0;0.56
57;68.0;68.0;68.0;0.56
58;68.0;68.0;68.0;0.56
59;68.0;68.0;68.0;0.56
60;68.0;68.0;68.0;0.56
61;68.0;68.0;68.0;0.56
62;68.0;68.0;68.0;0.56
63;68.0;68.0;68.0;0.56
64;68.0;68.0;68.0;0.56
65;68.0;68.0;68.0;0.56
66;68.0;68.0;68.0;0.56
67;68.0;68.0;68.0;0.56
68;68.0;68.0;68.0;0.56
69;68.0;68.0;68.0;0.56
70;68.0;68.0;68.0;0.56
71;68.0;68.0;68.0;0.56
72;68.0;68.0;68.0;0.56
73;68.0;68.0;68.0;0.56
74;68.0;68.0;68.0;0.56
75;68.0;68.0;68.0;0.56
76;68.0;68.0;68.0;0.56
77;68.0;68.0;68.0;0.56
78;68.0;68.0;68.0;0.56
79;68.0;68.0;68.0;0.56
80;68.0;68.0;68.0;0.56
81;68.0;68.0;68.0;0.56
82;68.0;68.0;68.0;0.56
83;68.0;68.0;68.0;0.56
84;68.0;68.0;68.0;0.56
85;68.0;68.0;68.0;0.56
86;68.0;68.0;68.0;0.56
87;68.0;68.0;68.0;0.56
88;68.0;68.0;68.0;0.56
89;68.0;68.0;68.0;0.56
90;68.0;68.0;68.0;0.56
91;68.0;68.0;68.0;0.56
92;68.0;68.0;68.0;0.56
93;68.0;68.0;68.0;0.56
94;68.0;68.0;68.0;0.56
95;68.0;68.0;68.0;0.56
96;68.0;68.0;68.0;0.56
97;68.0;68.0;68.0;0.56
98;68.0;68.0;68.0;0.56
99;68.0;68.0;68.0;0.56
100;68.0;68.0;68.0;0.56
