pid;best;worst;avg;makespan
1;77.0;100.0;86.99;0.62
2;77.0;91.0;81.42;0.62
3;77.0;83.0;78.51;0.62
4;77.0;80.0;77.11;0.62
5;77.0;77.0;77.0;0.62
6;77.0;77.0;77.0;0.62
7;77.0;77.0;77.0;0.62
8;77.0;77.0;77.0;0.62
9;77.0;77.0;77.0;0.62
10;77.0;77.0;77.0;0.62
11;77.0;77.0;77.0;0.62
12;77.0;77.0;77.0;0.62
13;77.0;77.0;77.0;0.62
14;77.0;77.0;77.0;0.62
15;77.0;77.0;77.0;0.62
16;77.0;77.0;77.0;0.62
17;77.0;77.0;77.0;0.62
18;77.0;77.0;77.0;0.62
19;77.0;77.0;77.0;0.62
20;77.0;77.0;77.0;0.62
21;77.0;77.0;77.0;0.62
22;77.0;77.0;77.0;0.62
23;77.0;77.0;77.0;0.62
24;77.0;77.0;77.0;0.62
25;77.0;77.0;77.0;0.62
26;77.0;77.0;77.0;0.62
27;77.0;77.0;77.0;0.62
28;77.0;77.0;77.0;0.62
29;77.0;77.0;77.0;0.62
30;77.0;77.0;77.0;0.62
31;77.0;77.0;77.0;0.62
32;77.0;77.0;77.0;0.62
33;77.0;77.0;77.0;0.62
34;77.0;77.0;77.0;0.62
35;77.0;77.0;77.0;0.62
36;77.0;77.0;77.0;0.62
37;77.0;77.0;77.0;0.62
38;77.0;77.0;77.0;0.62
39;77.0;77.0;77.0;0.62
40;77.0;77.0;77.0;0.62
41;77.0;77.0;77.0;0.62
42;77.0;77.0;77.0;0.62
43;77.0;77.0;77.0;0.62
44;77.0;77.0;77.0;0.62
45;77.0;77.0;77.0;0.62
46;77.0;77.0;77.0;0.62
47;77.0;77.0;77.0;0.62
48;77.0;77.0;77.0;0.62
49;77.0;77.0;77.0;0.62
50;77.0;77.0;77.0;0.62
51;77.0;77.0;77.0;0.62
52;77.0;77.0;77.0;0.62
53;77.0;77.0;77.0;0.62
54;77.0;77.0;77.0;0.62
55;77.0;77.0;77.0;0.62
56;77.0;77.0;77.0;0.62
57;77.0;77.0;77.0;0.62
58;77.0;77.0;77.0;0.62
59;77.0;77.0;77.0;0.62
60;77.0;77.0;77.0;0.62
61;77.0;77.0;77.0;0.62
62;77.0;77.0;77.0;0.62
63;77.0;77.0;77.0;0.62
64;77.0;77.0;77.0;0.62
65;77.0;77.0;77.0;0.62
66;77.0;77.0;77.0;0.62
67;77.0;77.0;77.0;0.62
68;77.0;77.0;77.0;0.62
69;77.0;77.0;77.0;0.62
70;77.0;77.0;77.0;0.62
71;77.0;77.0;77.0;0.62
72;77.0;77.0;77.0;0.62
73;77.0;77.0;77.0;0.62
74;77.0;77.0;77.0;0.62
75;77.0;77.0;77.0;0.62
76;77.0;77.0;77.0;0.62
77;77.0;77.0;77.0;0.62
78;77.0;77.0;77.0;0.62
79;77.0;77.0;77.0;0.62
80;77.0;77.0;77.0;0.62
81;77.0;77.0;77.0;0.62
82;77.0;77.0;77.0;0.62
83;77.0;77.0;77.0;0.62
84;77.0;77.0;77.0;0.62
85;77.0;77.0;77.0;0.62
86;77.0;77.0;77.0;0.62
87;77.0;77.0;77.0;0.62
88;77.0;77.0;77.0;0.62
89;77.0;77.0;77.0;0.62
90;77.0;77.0;77.0;0.62
91;77.0;77.0;77.0;0.62
92;77.0;77.0;77.0;0.62
93;77.0;77.0;77.0;0.62
94;77.0;77.0;77.0;0.62
95;77.0;77.0;77.0;0.62
96;77.0;77.0;77.0;0.62
97;77.0;77.0;77.0;0.62
98;77.0;77.0;77.0;0.62
99;77.0;77.0;77.0;0.62
100;77.0;77.0;77.0;0.62
