pid;best;worst;avg;avgConflicts
0;82.0;113.0;97.07;0
1;82.0;100.0;89.83;0
2;82.0;91.0;85.39;1
3;82.0;87.0;83.08;2
4;82.0;83.0;82.1;4
5;82.0;82.0;82.0;3
6;82.0;82.0;82.0;3
7;82.0;82.0;82.0;3
8;82.0;82.0;82.0;2
9;82.0;82.0;82.0;3
10;82.0;82.0;82.0;2
11;82.0;82.0;82.0;1
12;82.0;82.0;82.0;3
13;82.0;82.0;82.0;1
14;82.0;82.0;82.0;5
15;82.0;82.0;82.0;3
16;82.0;82.0;82.0;2
17;82.0;82.0;82.0;6
18;82.0;82.0;82.0;3
19;82.0;82.0;82.0;1
20;82.0;82.0;82.0;2
21;82.0;82.0;82.0;5
22;82.0;82.0;82.0;5
23;82.0;82.0;82.0;2
24;82.0;82.0;82.0;3
25;82.0;82.0;82.0;6
26;82.0;82.0;82.0;6
27;82.0;82.0;82.0;12
28;82.0;82.0;82.0;6
29;82.0;82.0;82.0;6
30;82.0;82.0;82.0;11
31;82.0;82.0;82.0;6
32;82.0;82.0;82.0;7
33;82.0;82.0;82.0;7
34;82.0;82.0;82.0;7
35;82.0;82.0;82.0;8
36;82.0;82.0;82.0;7
37;82.0;82.0;82.0;6
38;82.0;82.0;82.0;11
39;82.0;82.0;82.0;10
40;82.0;82.0;82.0;15
41;82.0;82.0;82.0;14
42;82.0;82.0;82.0;6
43;82.0;82.0;82.0;6
44;82.0;82.0;82.0;9
45;82.0;82.0;82.0;9
46;82.0;82.0;82.0;10
47;82.0;82.0;82.0;9
48;82.0;82.0;82.0;9
49;82.0;82.0;82.0;13
50;82.0;82.0;82.0;10
51;82.0;82.0;82.0;13
52;82.0;82.0;82.0;11
53;82.0;82.0;82.0;15
54;82.0;82.0;82.0;12
55;82.0;82.0;82.0;15
56;82.0;82.0;82.0;15
57;82.0;82.0;82.0;11
58;82.0;82.0;82.0;15
59;82.0;82.0;82.0;12
60;82.0;82.0;82.0;11
61;82.0;82.0;82.0;15
62;82.0;82.0;82.0;16
63;82.0;82.0;82.0;8
64;82.0;82.0;82.0;8
65;82.0;82.0;82.0;16
66;82.0;82.0;82.0;9
67;82.0;82.0;82.0;13
68;82.0;82.0;82.0;14
69;82.0;82.0;82.0;23
70;82.0;82.0;82.0;22
71;82.0;82.0;82.0;19
72;82.0;82.0;82.0;19
73;82.0;82.0;82.0;19
74;82.0;82.0;82.0;26
75;82.0;82.0;82.0;21
76;82.0;82.0;82.0;19
77;82.0;82.0;82.0;23
78;82.0;82.0;82.0;23
79;82.0;82.0;82.0;24
80;82.0;82.0;82.0;32
81;82.0;82.0;82.0;24
82;82.0;82.0;82.0;21
83;82.0;82.0;82.0;28
84;82.0;82.0;82.0;33
85;82.0;82.0;82.0;21
86;82.0;82.0;82.0;15
87;82.0;82.0;82.0;22
88;82.0;82.0;82.0;19
89;82.0;82.0;82.0;22
90;82.0;82.0;82.0;25
91;82.0;82.0;82.0;19
92;82.0;82.0;82.0;19
93;82.0;82.0;82.0;27
94;82.0;82.0;82.0;23
95;82.0;82.0;82.0;27
96;82.0;82.0;82.0;24
97;82.0;82.0;82.0;24
98;82.0;82.0;82.0;24
99;82.0;82.0;82.0;15
100;82.0;82.0;82.0;15
