pid;best;worst;avg;avgConflicts
0;86.0;118.0;101.35;0
1;86.0;104.0;93.98;0
2;86.0;97.0;89.89;1
3;86.0;93.0;87.13;2
4;86.0;87.0;86.36;4
5;86.0;86.0;86.0;4
6;86.0;86.0;86.0;4
7;86.0;86.0;86.0;2
8;86.0;86.0;86.0;6
9;86.0;86.0;86.0;3
10;86.0;86.0;86.0;3
11;86.0;86.0;86.0;4
12;86.0;86.0;86.0;3
13;86.0;86.0;86.0;2
14;86.0;86.0;86.0;0
15;86.0;86.0;86.0;1
16;86.0;86.0;86.0;4
17;86.0;86.0;86.0;4
18;86.0;86.0;86.0;4
19;86.0;86.0;86.0;5
20;86.0;86.0;86.0;3
21;86.0;86.0;86.0;5
22;86.0;86.0;86.0;6
23;86.0;86.0;86.0;5
24;86.0;86.0;86.0;5
25;86.0;86.0;86.0;5
26;86.0;86.0;86.0;9
27;86.0;86.0;86.0;9
28;86.0;86.0;86.0;5
29;86.0;86.0;86.0;13
30;86.0;86.0;86.0;13
31;86.0;86.0;86.0;9
32;86.0;86.0;86.0;6
33;86.0;86.0;86.0;6
34;86.0;86.0;86.0;6
35;86.0;86.0;86.0;6
36;86.0;86.0;86.0;6
37;86.0;86.0;86.0;6
38;86.0;86.0;86.0;7
39;86.0;86.0;86.0;10
40;86.0;86.0;86.0;6
41;86.0;86.0;86.0;16
42;86.0;86.0;86.0;14
43;86.0;86.0;86.0;12
44;86.0;86.0;86.0;14
45;86.0;86.0;86.0;10
46;86.0;86.0;86.0;15
47;86.0;86.0;86.0;19
48;86.0;86.0;86.0;17
49;86.0;86.0;86.0;16
50;86.0;86.0;86.0;16
51;86.0;86.0;86.0;16
52;86.0;86.0;86.0;16
53;86.0;86.0;86.0;16
54;86.0;86.0;86.0;16
55;86.0;86.0;86.0;20
56;86.0;86.0;86.0;16
57;86.0;86.0;86.0;17
58;86.0;86.0;86.0;13
59;86.0;86.0;86.0;12
60;86.0;86.0;86.0;13
61;86.0;86.0;86.0;13
62;86.0;86.0;86.0;16
63;86.0;86.0;86.0;12
64;86.0;86.0;86.0;13
65;86.0;86.0;86.0;12
66;86.0;86.0;86.0;13
67;86.0;86.0;86.0;12
68;86.0;86.0;86.0;12
69;86.0;86.0;86.0;12
70;86.0;86.0;86.0;13
71;86.0;86.0;86.0;16
72;86.0;86.0;86.0;8
73;86.0;86.0;86.0;13
74;86.0;86.0;86.0;17
75;86.0;86.0;86.0;9
76;86.0;86.0;86.0;12
77;86.0;86.0;86.0;13
78;86.0;86.0;86.0;12
79;86.0;86.0;86.0;9
80;86.0;86.0;86.0;8
81;86.0;86.0;86.0;8
82;86.0;86.0;86.0;12
83;86.0;86.0;86.0;12
84;86.0;86.0;86.0;12
85;86.0;86.0;86.0;16
86;86.0;86.0;86.0;16
87;86.0;86.0;86.0;20
88;86.0;86.0;86.0;24
89;86.0;86.0;86.0;16
90;86.0;86.0;86.0;15
91;86.0;86.0;86.0;12
92;86.0;86.0;86.0;11
93;86.0;86.0;86.0;15
94;86.0;86.0;86.0;11
95;86.0;86.0;86.0;12
96;86.0;86.0;86.0;12
97;86.0;86.0;86.0;16
98;86.0;86.0;86.0;16
99;86.0;86.0;86.0;16
100;86.0;86.0;86.0;15
