pid;best;worst;avg;makespan
1;48.0;67.0;59.01;0.43
2;48.0;60.0;55.1;0.43
3;48.0;57.0;52.11;0.43
4;48.0;52.0;50.51;0.43
5;48.0;52.0;48.41;0.43
6;48.0;48.0;48.0;0.43
7;48.0;48.0;48.0;0.43
8;48.0;48.0;48.0;0.43
9;48.0;48.0;48.0;0.43
10;48.0;48.0;48.0;0.43
11;48.0;48.0;48.0;0.43
12;48.0;48.0;48.0;0.43
13;48.0;48.0;48.0;0.43
14;48.0;48.0;48.0;0.43
15;48.0;48.0;48.0;0.43
16;48.0;48.0;48.0;0.43
17;48.0;48.0;48.0;0.43
18;48.0;48.0;48.0;0.43
19;48.0;48.0;48.0;0.43
20;48.0;48.0;48.0;0.43
21;48.0;48.0;48.0;0.43
22;48.0;48.0;48.0;0.43
23;48.0;48.0;48.0;0.43
24;48.0;48.0;48.0;0.43
25;48.0;48.0;48.0;0.43
26;48.0;48.0;48.0;0.43
27;48.0;48.0;48.0;0.43
28;48.0;48.0;48.0;0.43
29;48.0;48.0;48.0;0.43
30;48.0;48.0;48.0;0.43
31;48.0;48.0;48.0;0.43
32;48.0;48.0;48.0;0.43
33;48.0;48.0;48.0;0.43
34;48.0;48.0;48.0;0.43
35;48.0;48.0;48.0;0.43
36;48.0;48.0;48.0;0.43
37;48.0;48.0;48.0;0.43
38;48.0;48.0;48.0;0.43
39;48.0;48.0;48.0;0.43
40;48.0;48.0;48.0;0.43
41;48.0;48.0;48.0;0.43
42;48.0;48.0;48.0;0.43
43;48.0;48.0;48.0;0.43
44;48.0;48.0;48.0;0.43
45;48.0;48.0;48.0;0.43
46;48.0;48.0;48.0;0.43
47;48.0;48.0;48.0;0.43
48;48.0;48.0;48.0;0.43
49;48.0;48.0;48.0;0.43
50;48.0;48.0;48.0;0.43
51;48.0;48.0;48.0;0.43
52;48.0;48.0;48.0;0.43
53;48.0;48.0;48.0;0.43
54;48.0;48.0;48.0;0.43
55;48.0;48.0;48.0;0.43
56;48.0;48.0;48.0;0.43
57;48.0;48.0;48.0;0.43
58;48.0;48.0;48.0;0.43
59;48.0;48.0;48.0;0.43
60;48.0;48.0;48.0;0.43
61;48.0;48.0;48.0;0.43
62;48.0;48.0;48.0;0.43
63;48.0;48.0;48.0;0.43
64;48.0;48.0;48.0;0.43
65;48.0;48.0;48.0;0.43
66;48.0;48.0;48.0;0.43
67;48.0;48.0;48.0;0.43
68;48.0;48.0;48.0;0.43
69;48.0;48.0;48.0;0.43
70;48.0;48.0;48.0;0.43
71;48.0;48.0;48.0;0.43
72;48.0;48.0;48.0;0.43
73;48.0;48.0;48.0;0.43
74;48.0;48.0;48.0;0.43
75;48.0;48.0;48.0;0.43
76;48.0;48.0;48.0;0.43
77;48.0;48.0;48.0;0.43
78;48.0;48.0;48.0;0.43
79;48.0;48.0;48.0;0.43
80;48.0;48.0;48.0;0.43
81;48.0;48.0;48.0;0.43
82;48.0;48.0;48.0;0.43
83;48.0;48.0;48.0;0.43
84;48.0;48.0;48.0;0.43
85;48.0;48.0;48.0;0.43
86;48.0;48.0;48.0;0.43
87;48.0;48.0;48.0;0.43
88;48.0;48.0;48.0;0.43
89;48.0;48.0;48.0;0.43
90;48.0;48.0;48.0;0.43
91;48.0;48.0;48.0;0.43
92;48.0;48.0;48.0;0.43
93;48.0;48.0;48.0;0.43
94;48.0;48.0;48.0;0.43
95;48.0;48.0;48.0;0.43
96;48.0;48.0;48.0;0.43
97;48.0;48.0;48.0;0.43
98;48.0;48.0;48.0;0.43
99;48.0;48.0;48.0;0.43
100;48.0;48.0;48.0;0.43
