pid;best;worst;avg;avgConflicts
0;105.0;133.0;118.31;0
1;105.0;121.0;111.17;0
2;105.0;115.0;107.17;1
3;105.0;108.0;105.38;1
4;105.0;105.0;105.0;1
5;105.0;105.0;105.0;6
6;105.0;105.0;105.0;3
7;105.0;105.0;105.0;2
8;105.0;105.0;105.0;1
9;105.0;105.0;105.0;2
10;105.0;105.0;105.0;1
11;105.0;105.0;105.0;3
12;105.0;105.0;105.0;2
13;105.0;105.0;105.0;3
14;105.0;105.0;105.0;5
15;105.0;105.0;105.0;2
16;105.0;105.0;105.0;2
17;105.0;105.0;105.0;2
18;105.0;105.0;105.0;2
19;105.0;105.0;105.0;1
20;105.0;105.0;105.0;2
21;105.0;105.0;105.0;2
22;105.0;105.0;105.0;4
23;105.0;105.0;105.0;4
24;105.0;105.0;105.0;5
25;105.0;105.0;105.0;5
26;105.0;105.0;105.0;4
27;105.0;105.0;105.0;6
28;105.0;105.0;105.0;5
29;105.0;105.0;105.0;10
30;105.0;105.0;105.0;10
31;105.0;105.0;105.0;11
32;105.0;105.0;105.0;11
33;105.0;105.0;105.0;11
34;105.0;105.0;105.0;9
35;105.0;105.0;105.0;10
36;105.0;105.0;105.0;11
37;105.0;105.0;105.0;15
38;105.0;105.0;105.0;15
39;105.0;105.0;105.0;15
40;105.0;105.0;105.0;9
41;105.0;105.0;105.0;5
42;105.0;105.0;105.0;10
43;105.0;105.0;105.0;12
44;105.0;105.0;105.0;18
45;105.0;105.0;105.0;16
46;105.0;105.0;105.0;22
47;105.0;105.0;105.0;19
48;105.0;105.0;105.0;19
49;105.0;105.0;105.0;24
50;105.0;105.0;105.0;26
51;105.0;105.0;105.0;23
52;105.0;105.0;105.0;19
53;105.0;105.0;105.0;19
54;105.0;105.0;105.0;19
55;105.0;105.0;105.0;18
56;105.0;105.0;105.0;18
57;105.0;105.0;105.0;30
58;105.0;105.0;105.0;27
59;105.0;105.0;105.0;36
60;105.0;105.0;105.0;17
61;105.0;105.0;105.0;21
62;105.0;105.0;105.0;30
63;105.0;105.0;105.0;22
64;105.0;105.0;105.0;22
65;105.0;105.0;105.0;30
66;105.0;105.0;105.0;24
67;105.0;105.0;105.0;26
68;105.0;105.0;105.0;29
69;105.0;105.0;105.0;29
70;105.0;105.0;105.0;29
71;105.0;105.0;105.0;21
72;105.0;105.0;105.0;25
73;105.0;105.0;105.0;24
74;105.0;105.0;105.0;28
75;105.0;105.0;105.0;24
76;105.0;105.0;105.0;21
77;105.0;105.0;105.0;23
78;105.0;105.0;105.0;20
79;105.0;105.0;105.0;21
80;105.0;105.0;105.0;23
81;105.0;105.0;105.0;24
82;105.0;105.0;105.0;21
83;105.0;105.0;105.0;16
84;105.0;105.0;105.0;15
85;105.0;105.0;105.0;22
86;105.0;105.0;105.0;24
87;105.0;105.0;105.0;26
88;105.0;105.0;105.0;30
89;105.0;105.0;105.0;33
90;105.0;105.0;105.0;33
91;105.0;105.0;105.0;33
92;105.0;105.0;105.0;33
93;105.0;105.0;105.0;33
94;105.0;105.0;105.0;32
95;105.0;105.0;105.0;32
96;105.0;105.0;105.0;32
97;105.0;105.0;105.0;32
98;105.0;105.0;105.0;32
99;105.0;105.0;105.0;32
100;105.0;105.0;105.0;24
