pid;best;worst;avg;avgConflicts
0;67.0;116.0;87.05;0
1;67.0;88.0;78.62;1
2;67.0;82.0;73.71;2
3;67.0;75.0;69.73;3
4;67.0;70.0;67.27;4
5;67.0;67.0;67.0;3
6;67.0;67.0;67.0;4
7;67.0;67.0;67.0;5
8;67.0;67.0;67.0;4
9;67.0;67.0;67.0;7
10;67.0;67.0;67.0;5
11;67.0;67.0;67.0;3
12;67.0;67.0;67.0;4
13;67.0;67.0;67.0;4
14;67.0;67.0;67.0;3
15;67.0;67.0;67.0;1
16;67.0;67.0;67.0;1
17;67.0;67.0;67.0;8
18;67.0;67.0;67.0;4
19;67.0;67.0;67.0;1
20;67.0;67.0;67.0;2
21;67.0;67.0;67.0;5
22;67.0;67.0;67.0;9
23;67.0;67.0;67.0;6
24;67.0;67.0;67.0;8
25;67.0;67.0;67.0;12
26;67.0;67.0;67.0;9
27;67.0;67.0;67.0;15
28;67.0;67.0;67.0;15
29;67.0;67.0;67.0;16
30;67.0;67.0;67.0;20
31;67.0;67.0;67.0;14
32;67.0;67.0;67.0;19
33;67.0;67.0;67.0;18
34;67.0;67.0;67.0;23
35;67.0;67.0;67.0;22
36;67.0;67.0;67.0;19
37;67.0;67.0;67.0;15
38;67.0;67.0;67.0;19
39;67.0;67.0;67.0;19
40;67.0;67.0;67.0;27
41;67.0;67.0;67.0;19
42;67.0;67.0;67.0;15
43;67.0;67.0;67.0;11
44;67.0;67.0;67.0;8
45;67.0;67.0;67.0;12
46;67.0;67.0;67.0;12
47;67.0;67.0;67.0;16
48;67.0;67.0;67.0;16
49;67.0;67.0;67.0;12
50;67.0;67.0;67.0;15
51;67.0;67.0;67.0;13
52;67.0;67.0;67.0;16
53;67.0;67.0;67.0;12
54;67.0;67.0;67.0;15
55;67.0;67.0;67.0;11
56;67.0;67.0;67.0;12
57;67.0;67.0;67.0;12
58;67.0;67.0;67.0;11
59;67.0;67.0;67.0;14
60;67.0;67.0;67.0;14
61;67.0;67.0;67.0;10
62;67.0;67.0;67.0;10
63;67.0;67.0;67.0;19
64;67.0;67.0;67.0;15
65;67.0;67.0;67.0;19
66;67.0;67.0;67.0;27
67;67.0;67.0;67.0;23
68;67.0;67.0;67.0;15
69;67.0;67.0;67.0;18
70;67.0;67.0;67.0;19
71;67.0;67.0;67.0;19
72;67.0;67.0;67.0;10
73;67.0;67.0;67.0;22
74;67.0;67.0;67.0;10
75;67.0;67.0;67.0;22
76;67.0;67.0;67.0;14
77;67.0;67.0;67.0;18
78;67.0;67.0;67.0;18
79;67.0;67.0;67.0;15
80;67.0;67.0;67.0;22
81;67.0;67.0;67.0;17
82;67.0;67.0;67.0;22
83;67.0;67.0;67.0;18
84;67.0;67.0;67.0;21
85;67.0;67.0;67.0;21
86;67.0;67.0;67.0;21
87;67.0;67.0;67.0;22
88;67.0;67.0;67.0;22
89;67.0;67.0;67.0;31
90;67.0;67.0;67.0;22
91;67.0;67.0;67.0;21
92;67.0;67.0;67.0;18
93;67.0;67.0;67.0;18
94;67.0;67.0;67.0;9
95;67.0;67.0;67.0;8
96;67.0;67.0;67.0;12
97;67.0;67.0;67.0;8
98;67.0;67.0;67.0;9
99;67.0;67.0;67.0;9
100;67.0;67.0;67.0;9
