pid;best;worst;avg;makespan
1;71.0;92.0;82.4;0.58
2;71.0;84.0;77.79;0.58
3;71.0;80.0;73.78;0.58
4;71.0;75.0;71.4;0.58
5;71.0;71.0;71.0;0.58
6;71.0;71.0;71.0;0.58
7;71.0;71.0;71.0;0.58
8;71.0;71.0;71.0;0.58
9;71.0;71.0;71.0;0.58
10;71.0;71.0;71.0;0.58
11;71.0;71.0;71.0;0.58
12;71.0;71.0;71.0;0.58
13;71.0;71.0;71.0;0.58
14;71.0;71.0;71.0;0.58
15;71.0;71.0;71.0;0.58
16;71.0;71.0;71.0;0.58
17;71.0;71.0;71.0;0.58
18;71.0;71.0;71.0;0.58
19;71.0;71.0;71.0;0.58
20;71.0;71.0;71.0;0.58
21;71.0;71.0;71.0;0.58
22;71.0;71.0;71.0;0.58
23;71.0;71.0;71.0;0.58
24;71.0;71.0;71.0;0.58
25;71.0;71.0;71.0;0.58
26;71.0;71.0;71.0;0.58
27;71.0;71.0;71.0;0.58
28;71.0;71.0;71.0;0.58
29;71.0;71.0;71.0;0.58
30;71.0;71.0;71.0;0.58
31;71.0;71.0;71.0;0.58
32;71.0;71.0;71.0;0.58
33;71.0;71.0;71.0;0.58
34;71.0;71.0;71.0;0.58
35;71.0;71.0;71.0;0.58
36;71.0;71.0;71.0;0.58
37;71.0;71.0;71.0;0.58
38;71.0;71.0;71.0;0.58
39;71.0;71.0;71.0;0.58
40;71.0;71.0;71.0;0.58
41;71.0;71.0;71.0;0.58
42;71.0;71.0;71.0;0.58
43;71.0;71.0;71.0;0.58
44;71.0;71.0;71.0;0.58
45;71.0;71.0;71.0;0.58
46;71.0;71.0;71.0;0.58
47;71.0;71.0;71.0;0.58
48;71.0;71.0;71.0;0.58
49;71.0;71.0;71.0;0.58
50;71.0;71.0;71.0;0.58
51;71.0;71.0;71.0;0.58
52;71.0;71.0;71.0;0.58
53;71.0;71.0;71.0;0.58
54;71.0;71.0;71.0;0.58
55;71.0;71.0;71.0;0.58
56;71.0;71.0;71.0;0.58
57;71.0;71.0;71.0;0.58
58;71.0;71.0;71.0;0.58
59;71.0;71.0;71.0;0.58
60;71.0;71.0;71.0;0.58
61;71.0;71.0;71.0;0.58
62;71.0;71.0;71.0;0.58
63;71.0;71.0;71.0;0.58
64;71.0;71.0;71.0;0.58
65;71.0;71.0;71.0;0.58
66;71.0;71.0;71.0;0.58
67;71.0;71.0;71.0;0.58
68;71.0;71.0;71.0;0.58
69;71.0;71.0;71.0;0.58
70;71.0;71.0;71.0;0.58
71;71.0;71.0;71.0;0.58
72;71.0;71.0;71.0;0.58
73;71.0;71.0;71.0;0.58
74;71.0;71.0;71.0;0.58
75;71.0;71.0;71.0;0.58
76;71.0;71.0;71.0;0.58
77;71.0;71.0;71.0;0.58
78;71.0;71.0;71.0;0.58
79;71.0;71.0;71.0;0.58
80;71.0;71.0;71.0;0.58
81;71.0;71.0;71.0;0.58
82;71.0;71.0;71.0;0.58
83;71.0;71.0;71.0;0.58
84;71.0;71.0;71.0;0.58
85;71.0;71.0;71.0;0.58
86;71.0;71.0;71.0;0.58
87;71.0;71.0;71.0;0.58
88;71.0;71.0;71.0;0.58
89;71.0;71.0;71.0;0.58
90;71.0;71.0;71.0;0.58
91;71.0;71.0;71.0;0.58
92;71.0;71.0;71.0;0.58
93;71.0;71.0;71.0;0.58
94;71.0;71.0;71.0;0.58
95;71.0;71.0;71.0;0.58
96;71.0;71.0;71.0;0.58
97;71.0;71.0;71.0;0.58
98;71.0;71.0;71.0;0.58
99;71.0;71.0;71.0;0.58
100;71.0;71.0;71.0;0.58
