pid;best;worst;avg;avgConflicts
0;65.0;111.0;77.97;0
1;65.0;80.0;69.95;0
2;65.0;71.0;67.87;2
3;65.0;68.0;66.92;5
4;65.0;67.0;65.99;3
5;65.0;67.0;65.06;4
6;65.0;65.0;65.0;4
7;65.0;65.0;65.0;4
8;65.0;65.0;65.0;7
9;65.0;65.0;65.0;3
10;65.0;65.0;65.0;4
11;65.0;65.0;65.0;7
12;65.0;65.0;65.0;7
13;65.0;65.0;65.0;4
14;65.0;65.0;65.0;7
15;65.0;65.0;65.0;10
16;65.0;65.0;65.0;7
17;65.0;65.0;65.0;9
18;65.0;65.0;65.0;8
19;65.0;65.0;65.0;7
20;65.0;65.0;65.0;6
21;65.0;65.0;65.0;9
22;65.0;65.0;65.0;7
23;65.0;65.0;65.0;8
24;65.0;65.0;65.0;12
25;65.0;65.0;65.0;8
26;65.0;65.0;65.0;11
27;65.0;65.0;65.0;9
28;65.0;65.0;65.0;7
29;65.0;65.0;65.0;8
30;65.0;65.0;65.0;11
31;65.0;65.0;65.0;8
32;65.0;65.0;65.0;6
33;65.0;65.0;65.0;5
34;65.0;65.0;65.0;5
35;65.0;65.0;65.0;5
36;65.0;65.0;65.0;4
37;65.0;65.0;65.0;5
38;65.0;65.0;65.0;4
39;65.0;65.0;65.0;5
40;65.0;65.0;65.0;6
41;65.0;65.0;65.0;6
42;65.0;65.0;65.0;6
43;65.0;65.0;65.0;6
44;65.0;65.0;65.0;6
45;65.0;65.0;65.0;8
46;65.0;65.0;65.0;7
47;65.0;65.0;65.0;8
48;65.0;65.0;65.0;8
49;65.0;65.0;65.0;8
50;65.0;65.0;65.0;7
51;65.0;65.0;65.0;6
52;65.0;65.0;65.0;7
53;65.0;65.0;65.0;8
54;65.0;65.0;65.0;11
55;65.0;65.0;65.0;11
56;65.0;65.0;65.0;7
57;65.0;65.0;65.0;8
58;65.0;65.0;65.0;8
59;65.0;65.0;65.0;16
60;65.0;65.0;65.0;8
61;65.0;65.0;65.0;14
62;65.0;65.0;65.0;11
63;65.0;65.0;65.0;14
64;65.0;65.0;65.0;7
65;65.0;65.0;65.0;6
66;65.0;65.0;65.0;7
67;65.0;65.0;65.0;7
68;65.0;65.0;65.0;7
69;65.0;65.0;65.0;8
70;65.0;65.0;65.0;7
71;65.0;65.0;65.0;9
72;65.0;65.0;65.0;9
73;65.0;65.0;65.0;9
74;65.0;65.0;65.0;9
75;65.0;65.0;65.0;9
76;65.0;65.0;65.0;9
77;65.0;65.0;65.0;9
78;65.0;65.0;65.0;9
79;65.0;65.0;65.0;9
80;65.0;65.0;65.0;9
81;65.0;65.0;65.0;9
82;65.0;65.0;65.0;7
83;65.0;65.0;65.0;8
84;65.0;65.0;65.0;12
85;65.0;65.0;65.0;17
86;65.0;65.0;65.0;10
87;65.0;65.0;65.0;13
88;65.0;65.0;65.0;16
89;65.0;65.0;65.0;16
90;65.0;65.0;65.0;15
91;65.0;65.0;65.0;15
92;65.0;65.0;65.0;15
93;65.0;65.0;65.0;12
94;65.0;65.0;65.0;12
95;65.0;65.0;65.0;16
96;65.0;65.0;65.0;21
97;65.0;65.0;65.0;15
98;65.0;65.0;65.0;7
99;65.0;65.0;65.0;11
100;65.0;65.0;65.0;15
