pid;best;worst;avg;avgConflicts
0;60.0;89.0;73.46;0
1;60.0;75.0;65.61;0
2;60.0;67.0;61.11;1
3;60.0;60.0;60.0;0
4;60.0;60.0;60.0;0
5;60.0;60.0;60.0;0
6;60.0;60.0;60.0;0
7;60.0;60.0;60.0;0
8;60.0;60.0;60.0;0
9;60.0;60.0;60.0;0
10;60.0;60.0;60.0;0
11;60.0;60.0;60.0;0
12;60.0;60.0;60.0;0
13;60.0;60.0;60.0;0
14;60.0;60.0;60.0;0
15;60.0;60.0;60.0;0
16;60.0;60.0;60.0;0
17;60.0;60.0;60.0;0
18;60.0;60.0;60.0;0
19;60.0;60.0;60.0;0
20;60.0;60.0;60.0;0
21;60.0;60.0;60.0;0
22;60.0;60.0;60.0;0
23;60.0;60.0;60.0;0
24;60.0;60.0;60.0;0
25;60.0;60.0;60.0;0
26;60.0;60.0;60.0;0
27;60.0;60.0;60.0;2
28;60.0;60.0;60.0;2
29;60.0;60.0;60.0;2
30;60.0;60.0;60.0;2
31;60.0;60.0;60.0;2
32;60.0;60.0;60.0;2
33;60.0;60.0;60.0;4
34;60.0;60.0;60.0;4
35;60.0;60.0;60.0;4
36;60.0;60.0;60.0;4
37;60.0;60.0;60.0;4
38;60.0;60.0;60.0;4
39;60.0;60.0;60.0;4
40;60.0;60.0;60.0;4
41;60.0;60.0;60.0;4
42;60.0;60.0;60.0;4
43;60.0;60.0;60.0;4
44;60.0;60.0;60.0;4
45;60.0;60.0;60.0;4
46;60.0;60.0;60.0;4
47;60.0;60.0;60.0;4
48;60.0;60.0;60.0;4
49;60.0;60.0;60.0;4
50;60.0;60.0;60.0;4
51;60.0;60.0;60.0;4
52;60.0;60.0;60.0;4
53;60.0;60.0;60.0;4
54;60.0;60.0;60.0;4
55;60.0;60.0;60.0;4
56;60.0;60.0;60.0;4
57;60.0;60.0;60.0;4
58;60.0;60.0;60.0;8
59;60.0;60.0;60.0;8
60;60.0;60.0;60.0;8
61;60.0;60.0;60.0;8
62;60.0;60.0;60.0;8
63;60.0;60.0;60.0;8
64;60.0;60.0;60.0;8
65;60.0;60.0;60.0;8
66;60.0;60.0;60.0;8
67;60.0;60.0;60.0;8
68;60.0;60.0;60.0;8
69;60.0;60.0;60.0;8
70;60.0;60.0;60.0;8
71;60.0;60.0;60.0;8
72;60.0;60.0;60.0;8
73;60.0;60.0;60.0;8
74;60.0;60.0;60.0;8
75;60.0;60.0;60.0;8
76;60.0;60.0;60.0;8
77;60.0;60.0;60.0;8
78;60.0;60.0;60.0;8
79;60.0;60.0;60.0;8
80;60.0;60.0;60.0;8
81;60.0;60.0;60.0;8
82;60.0;60.0;60.0;8
83;60.0;60.0;60.0;8
84;60.0;60.0;60.0;8
85;60.0;60.0;60.0;8
86;60.0;60.0;60.0;8
87;60.0;60.0;60.0;8
88;60.0;60.0;60.0;8
89;60.0;60.0;60.0;8
90;60.0;60.0;60.0;8
91;60.0;60.0;60.0;8
92;60.0;60.0;60.0;8
93;60.0;60.0;60.0;8
94;60.0;60.0;60.0;8
95;60.0;60.0;60.0;8
96;60.0;60.0;60.0;8
97;60.0;60.0;60.0;8
98;60.0;60.0;60.0;8
99;60.0;60.0;60.0;8
100;60.0;60.0;60.0;8
