pid;best;worst;avg;makespan
1;74.0;90.0;81.31;0.61
2;74.0;85.0;76.2;0.61
3;74.0;76.0;74.64;0.61
4;74.0;75.0;74.01;0.61
5;74.0;74.0;74.0;0.61
6;74.0;74.0;74.0;0.61
7;74.0;74.0;74.0;0.61
8;74.0;74.0;74.0;0.61
9;74.0;74.0;74.0;0.61
10;74.0;74.0;74.0;0.61
11;74.0;74.0;74.0;0.61
12;74.0;74.0;74.0;0.61
13;74.0;74.0;74.0;0.61
14;74.0;74.0;74.0;0.61
15;74.0;74.0;74.0;0.61
16;74.0;74.0;74.0;0.61
17;74.0;74.0;74.0;0.61
18;74.0;74.0;74.0;0.61
19;74.0;74.0;74.0;0.61
20;74.0;74.0;74.0;0.61
21;74.0;74.0;74.0;0.61
22;74.0;74.0;74.0;0.61
23;74.0;74.0;74.0;0.61
24;74.0;74.0;74.0;0.61
25;74.0;74.0;74.0;0.61
26;74.0;74.0;74.0;0.61
27;74.0;74.0;74.0;0.61
28;74.0;74.0;74.0;0.61
29;74.0;74.0;74.0;0.61
30;74.0;74.0;74.0;0.61
31;74.0;74.0;74.0;0.61
32;74.0;74.0;74.0;0.61
33;74.0;74.0;74.0;0.61
34;74.0;74.0;74.0;0.61
35;74.0;74.0;74.0;0.61
36;74.0;74.0;74.0;0.61
37;74.0;74.0;74.0;0.61
38;74.0;74.0;74.0;0.61
39;74.0;74.0;74.0;0.61
40;74.0;74.0;74.0;0.61
41;74.0;74.0;74.0;0.61
42;74.0;74.0;74.0;0.61
43;74.0;74.0;74.0;0.61
44;74.0;74.0;74.0;0.61
45;74.0;74.0;74.0;0.61
46;74.0;74.0;74.0;0.61
47;74.0;74.0;74.0;0.61
48;74.0;74.0;74.0;0.61
49;74.0;74.0;74.0;0.61
50;74.0;74.0;74.0;0.61
51;74.0;74.0;74.0;0.61
52;74.0;74.0;74.0;0.61
53;74.0;74.0;74.0;0.61
54;74.0;74.0;74.0;0.61
55;74.0;74.0;74.0;0.61
56;74.0;74.0;74.0;0.61
57;74.0;74.0;74.0;0.61
58;74.0;74.0;74.0;0.61
59;74.0;74.0;74.0;0.61
60;74.0;74.0;74.0;0.61
61;74.0;74.0;74.0;0.61
62;74.0;74.0;74.0;0.61
63;74.0;74.0;74.0;0.61
64;74.0;74.0;74.0;0.61
65;74.0;74.0;74.0;0.61
66;74.0;74.0;74.0;0.61
67;74.0;74.0;74.0;0.61
68;74.0;74.0;74.0;0.61
69;74.0;74.0;74.0;0.61
70;74.0;74.0;74.0;0.61
71;74.0;74.0;74.0;0.61
72;74.0;74.0;74.0;0.61
73;74.0;74.0;74.0;0.61
74;74.0;74.0;74.0;0.61
75;74.0;74.0;74.0;0.61
76;74.0;74.0;74.0;0.61
77;74.0;74.0;74.0;0.61
78;74.0;74.0;74.0;0.61
79;74.0;74.0;74.0;0.61
80;74.0;74.0;74.0;0.61
81;74.0;74.0;74.0;0.61
82;74.0;74.0;74.0;0.61
83;74.0;74.0;74.0;0.61
84;74.0;74.0;74.0;0.61
85;74.0;74.0;74.0;0.61
86;74.0;74.0;74.0;0.61
87;74.0;74.0;74.0;0.61
88;74.0;74.0;74.0;0.61
89;74.0;74.0;74.0;0.61
90;74.0;74.0;74.0;0.61
91;74.0;74.0;74.0;0.61
92;74.0;74.0;74.0;0.61
93;74.0;74.0;74.0;0.61
94;74.0;74.0;74.0;0.61
95;74.0;74.0;74.0;0.61
96;74.0;74.0;74.0;0.61
97;74.0;74.0;74.0;0.61
98;74.0;74.0;74.0;0.61
99;74.0;74.0;74.0;0.61
100;74.0;74.0;74.0;0.61
