pid;best;worst;avg;avgConflicts
0;103.0;132.0;117.94;0
1;103.0;121.0;110.34;0
2;103.0;112.0;106.74;0
3;103.0;109.0;103.83;0
4;103.0;103.0;103.0;0
5;103.0;103.0;103.0;0
6;103.0;103.0;103.0;0
7;103.0;103.0;103.0;0
8;103.0;103.0;103.0;0
9;103.0;103.0;103.0;0
10;103.0;103.0;103.0;0
11;103.0;103.0;103.0;0
12;103.0;103.0;103.0;0
13;103.0;103.0;103.0;0
14;103.0;103.0;103.0;0
15;103.0;103.0;103.0;0
16;103.0;103.0;103.0;0
17;103.0;103.0;103.0;0
18;103.0;103.0;103.0;0
19;103.0;103.0;103.0;0
20;103.0;103.0;103.0;0
21;103.0;103.0;103.0;0
22;103.0;103.0;103.0;0
23;103.0;103.0;103.0;0
24;103.0;103.0;103.0;0
25;103.0;103.0;103.0;0
26;103.0;103.0;103.0;0
27;103.0;103.0;103.0;0
28;103.0;103.0;103.0;0
29;103.0;103.0;103.0;0
30;103.0;103.0;103.0;0
31;103.0;103.0;103.0;0
32;103.0;103.0;103.0;0
33;103.0;103.0;103.0;0
34;103.0;103.0;103.0;0
35;103.0;103.0;103.0;0
36;103.0;103.0;103.0;0
37;103.0;103.0;103.0;0
38;103.0;103.0;103.0;0
39;103.0;103.0;103.0;0
40;103.0;103.0;103.0;0
41;103.0;103.0;103.0;0
42;103.0;103.0;103.0;0
43;103.0;103.0;103.0;0
44;103.0;103.0;103.0;0
45;103.0;103.0;103.0;0
46;103.0;103.0;103.0;0
47;103.0;103.0;103.0;0
48;103.0;103.0;103.0;0
49;103.0;103.0;103.0;0
50;103.0;103.0;103.0;0
51;103.0;103.0;103.0;0
52;103.0;103.0;103.0;0
53;103.0;103.0;103.0;0
54;103.0;103.0;103.0;0
55;103.0;103.0;103.0;0
56;103.0;103.0;103.0;0
57;103.0;103.0;103.0;0
58;103.0;103.0;103.0;0
59;103.0;103.0;103.0;0
60;103.0;103.0;103.0;0
61;103.0;103.0;103.0;0
62;103.0;103.0;103.0;0
63;103.0;103.0;103.0;0
64;103.0;103.0;103.0;0
65;103.0;103.0;103.0;0
66;103.0;103.0;103.0;0
67;103.0;103.0;103.0;0
68;103.0;103.0;103.0;0
69;103.0;103.0;103.0;0
70;103.0;103.0;103.0;0
71;103.0;103.0;103.0;0
72;103.0;103.0;103.0;0
73;103.0;103.0;103.0;0
74;103.0;103.0;103.0;0
75;103.0;103.0;103.0;0
76;103.0;103.0;103.0;0
77;103.0;103.0;103.0;0
78;103.0;103.0;103.0;0
79;103.0;103.0;103.0;0
80;103.0;103.0;103.0;0
81;103.0;103.0;103.0;0
82;103.0;103.0;103.0;0
83;103.0;103.0;103.0;0
84;103.0;103.0;103.0;0
85;103.0;103.0;103.0;1
86;103.0;103.0;103.0;1
87;103.0;103.0;103.0;1
88;103.0;103.0;103.0;1
89;103.0;103.0;103.0;1
90;103.0;103.0;103.0;5
91;103.0;103.0;103.0;5
92;103.0;103.0;103.0;5
93;103.0;103.0;103.0;5
94;103.0;103.0;103.0;5
95;103.0;103.0;103.0;5
96;103.0;103.0;103.0;5
97;103.0;103.0;103.0;5
98;103.0;103.0;103.0;6
99;103.0;103.0;103.0;6
100;103.0;103.0;103.0;6
