pid;best;worst;avg;makespan
1;50.0;68.0;60.31;0.45
2;50.0;62.0;55.41;0.45
3;50.0;54.0;50.8;0.45
4;50.0;50.0;50.0;0.45
5;50.0;50.0;50.0;0.45
6;50.0;50.0;50.0;0.45
7;50.0;50.0;50.0;0.45
8;50.0;50.0;50.0;0.45
9;50.0;50.0;50.0;0.45
10;50.0;50.0;50.0;0.45
11;50.0;50.0;50.0;0.45
12;50.0;50.0;50.0;0.45
13;50.0;50.0;50.0;0.45
14;50.0;50.0;50.0;0.45
15;50.0;50.0;50.0;0.45
16;50.0;50.0;50.0;0.45
17;50.0;50.0;50.0;0.45
18;50.0;50.0;50.0;0.45
19;50.0;50.0;50.0;0.45
20;50.0;50.0;50.0;0.45
21;50.0;50.0;50.0;0.45
22;50.0;50.0;50.0;0.45
23;50.0;50.0;50.0;0.45
24;50.0;50.0;50.0;0.45
25;50.0;50.0;50.0;0.45
26;50.0;50.0;50.0;0.45
27;50.0;50.0;50.0;0.45
28;50.0;50.0;50.0;0.45
29;50.0;50.0;50.0;0.45
30;50.0;50.0;50.0;0.45
31;50.0;50.0;50.0;0.45
32;50.0;50.0;50.0;0.45
33;50.0;50.0;50.0;0.45
34;50.0;50.0;50.0;0.45
35;50.0;50.0;50.0;0.45
36;50.0;50.0;50.0;0.45
37;50.0;50.0;50.0;0.45
38;50.0;50.0;50.0;0.45
39;50.0;50.0;50.0;0.45
40;50.0;50.0;50.0;0.45
41;50.0;50.0;50.0;0.45
42;50.0;50.0;50.0;0.45
43;50.0;50.0;50.0;0.45
44;50.0;50.0;50.0;0.45
45;50.0;50.0;50.0;0.45
46;50.0;50.0;50.0;0.45
47;50.0;50.0;50.0;0.45
48;50.0;50.0;50.0;0.45
49;50.0;50.0;50.0;0.45
50;50.0;50.0;50.0;0.45
51;50.0;50.0;50.0;0.45
52;50.0;50.0;50.0;0.45
53;50.0;50.0;50.0;0.45
54;50.0;50.0;50.0;0.45
55;50.0;50.0;50.0;0.45
56;50.0;50.0;50.0;0.45
57;50.0;50.0;50.0;0.45
58;50.0;50.0;50.0;0.45
59;50.0;50.0;50.0;0.45
60;50.0;50.0;50.0;0.45
61;50.0;50.0;50.0;0.45
62;50.0;50.0;50.0;0.45
63;50.0;50.0;50.0;0.45
64;50.0;50.0;50.0;0.45
65;50.0;50.0;50.0;0.45
66;50.0;50.0;50.0;0.45
67;50.0;50.0;50.0;0.45
68;50.0;50.0;50.0;0.45
69;50.0;50.0;50.0;0.45
70;50.0;50.0;50.0;0.45
71;50.0;50.0;50.0;0.45
72;50.0;50.0;50.0;0.45
73;50.0;50.0;50.0;0.45
74;50.0;50.0;50.0;0.45
75;50.0;50.0;50.0;0.45
76;50.0;50.0;50.0;0.45
77;50.0;50.0;50.0;0.45
78;50.0;50.0;50.0;0.45
79;50.0;50.0;50.0;0.45
80;50.0;50.0;50.0;0.45
81;50.0;50.0;50.0;0.45
82;50.0;50.0;50.0;0.45
83;50.0;50.0;50.0;0.45
84;50.0;50.0;50.0;0.45
85;50.0;50.0;50.0;0.45
86;50.0;50.0;50.0;0.45
87;50.0;50.0;50.0;0.45
88;50.0;50.0;50.0;0.45
89;50.0;50.0;50.0;0.45
90;50.0;50.0;50.0;0.45
91;50.0;50.0;50.0;0.45
92;50.0;50.0;50.0;0.45
93;50.0;50.0;50.0;0.45
94;50.0;50.0;50.0;0.45
95;50.0;50.0;50.0;0.45
96;50.0;50.0;50.0;0.45
97;50.0;50.0;50.0;0.45
98;50.0;50.0;50.0;0.45
99;50.0;50.0;50.0;0.45
100;50.0;50.0;50.0;0.45
