pid;best;worst;avg;avgConflicts
0;85.0;109.0;98.1;0
1;85.0;99.0;90.86;0
2;85.0;91.0;86.66;0
3;85.0;87.0;85.46;0
4;85.0;85.0;85.0;0
5;85.0;85.0;85.0;0
6;85.0;85.0;85.0;0
7;85.0;85.0;85.0;0
8;85.0;85.0;85.0;0
9;85.0;85.0;85.0;0
10;85.0;85.0;85.0;0
11;85.0;85.0;85.0;0
12;85.0;85.0;85.0;0
13;85.0;85.0;85.0;0
14;85.0;85.0;85.0;0
15;85.0;85.0;85.0;0
16;85.0;85.0;85.0;0
17;85.0;85.0;85.0;0
18;85.0;85.0;85.0;0
19;85.0;85.0;85.0;0
20;85.0;85.0;85.0;0
21;85.0;85.0;85.0;0
22;85.0;85.0;85.0;0
23;85.0;85.0;85.0;0
24;85.0;85.0;85.0;0
25;85.0;85.0;85.0;0
26;85.0;85.0;85.0;0
27;85.0;85.0;85.0;0
28;85.0;85.0;85.0;0
29;85.0;85.0;85.0;0
30;85.0;85.0;85.0;0
31;85.0;85.0;85.0;0
32;85.0;85.0;85.0;0
33;85.0;85.0;85.0;0
34;85.0;85.0;85.0;0
35;85.0;85.0;85.0;0
36;85.0;85.0;85.0;0
37;85.0;85.0;85.0;0
38;85.0;85.0;85.0;0
39;85.0;85.0;85.0;0
40;85.0;85.0;85.0;0
41;85.0;85.0;85.0;0
42;85.0;85.0;85.0;0
43;85.0;85.0;85.0;0
44;85.0;85.0;85.0;0
45;85.0;85.0;85.0;0
46;85.0;85.0;85.0;0
47;85.0;85.0;85.0;0
48;85.0;85.0;85.0;0
49;85.0;85.0;85.0;0
50;85.0;85.0;85.0;0
51;85.0;85.0;85.0;0
52;85.0;85.0;85.0;0
53;85.0;85.0;85.0;0
54;85.0;85.0;85.0;0
55;85.0;85.0;85.0;0
56;85.0;85.0;85.0;0
57;85.0;85.0;85.0;0
58;85.0;85.0;85.0;0
59;85.0;85.0;85.0;0
60;85.0;85.0;85.0;0
61;85.0;85.0;85.0;0
62;85.0;85.0;85.0;0
63;85.0;85.0;85.0;0
64;85.0;85.0;85.0;0
65;85.0;85.0;85.0;0
66;85.0;85.0;85.0;0
67;85.0;85.0;85.0;0
68;85.0;85.0;85.0;0
69;85.0;85.0;85.0;0
70;85.0;85.0;85.0;0
71;85.0;85.0;85.0;0
72;85.0;85.0;85.0;0
73;85.0;85.0;85.0;0
74;85.0;85.0;85.0;0
75;85.0;85.0;85.0;0
76;85.0;85.0;85.0;0
77;85.0;85.0;85.0;0
78;85.0;85.0;85.0;0
79;85.0;85.0;85.0;0
80;85.0;85.0;85.0;0
81;85.0;85.0;85.0;0
82;85.0;85.0;85.0;0
83;85.0;85.0;85.0;0
84;85.0;85.0;85.0;0
85;85.0;85.0;85.0;0
86;85.0;85.0;85.0;0
87;85.0;85.0;85.0;0
88;85.0;85.0;85.0;0
89;85.0;85.0;85.0;0
90;85.0;85.0;85.0;0
91;85.0;85.0;85.0;0
92;85.0;85.0;85.0;0
93;85.0;85.0;85.0;0
94;85.0;85.0;85.0;0
95;85.0;85.0;85.0;0
96;85.0;85.0;85.0;0
97;85.0;85.0;85.0;0
98;85.0;85.0;85.0;0
99;85.0;85.0;85.0;0
100;85.0;85.0;85.0;0
