pid;best;worst;avg;makespan
1;79.0;108.0;87.71;0.63
2;79.0;90.0;80.3;0.63
3;79.0;81.0;79.03;0.63
4;79.0;79.0;79.0;0.63
5;79.0;79.0;79.0;0.63
6;79.0;79.0;79.0;0.63
7;79.0;79.0;79.0;0.63
8;79.0;79.0;79.0;0.63
9;79.0;79.0;79.0;0.63
10;79.0;79.0;79.0;0.63
11;79.0;79.0;79.0;0.63
12;79.0;79.0;79.0;0.63
13;79.0;79.0;79.0;0.63
14;79.0;79.0;79.0;0.63
15;79.0;79.0;79.0;0.63
16;79.0;79.0;79.0;0.63
17;79.0;79.0;79.0;0.63
18;79.0;79.0;79.0;0.63
19;79.0;79.0;79.0;0.63
20;79.0;79.0;79.0;0.63
21;79.0;79.0;79.0;0.63
22;79.0;79.0;79.0;0.63
23;79.0;79.0;79.0;0.63
24;79.0;79.0;79.0;0.63
25;79.0;79.0;79.0;0.63
26;79.0;79.0;79.0;0.63
27;79.0;79.0;79.0;0.63
28;79.0;79.0;79.0;0.63
29;79.0;79.0;79.0;0.63
30;79.0;79.0;79.0;0.63
31;79.0;79.0;79.0;0.63
32;79.0;79.0;79.0;0.63
33;79.0;79.0;79.0;0.63
34;79.0;79.0;79.0;0.63
35;79.0;79.0;79.0;0.63
36;79.0;79.0;79.0;0.63
37;79.0;79.0;79.0;0.63
38;79.0;79.0;79.0;0.63
39;79.0;79.0;79.0;0.63
40;79.0;79.0;79.0;0.63
41;79.0;79.0;79.0;0.63
42;79.0;79.0;79.0;0.63
43;79.0;79.0;79.0;0.63
44;79.0;79.0;79.0;0.63
45;79.0;79.0;79.0;0.63
46;79.0;79.0;79.0;0.63
47;79.0;79.0;79.0;0.63
48;79.0;79.0;79.0;0.63
49;79.0;79.0;79.0;0.63
50;79.0;79.0;79.0;0.63
51;79.0;79.0;79.0;0.63
52;79.0;79.0;79.0;0.63
53;79.0;79.0;79.0;0.63
54;79.0;79.0;79.0;0.63
55;79.0;79.0;79.0;0.63
56;79.0;79.0;79.0;0.63
57;79.0;79.0;79.0;0.63
58;79.0;79.0;79.0;0.63
59;79.0;79.0;79.0;0.63
60;79.0;79.0;79.0;0.63
61;79.0;79.0;79.0;0.63
62;79.0;79.0;79.0;0.63
63;79.0;79.0;79.0;0.63
64;79.0;79.0;79.0;0.63
65;79.0;79.0;79.0;0.63
66;79.0;79.0;79.0;0.63
67;79.0;79.0;79.0;0.63
68;79.0;79.0;79.0;0.63
69;79.0;79.0;79.0;0.63
70;79.0;79.0;79.0;0.63
71;79.0;79.0;79.0;0.63
72;79.0;79.0;79.0;0.63
73;79.0;79.0;79.0;0.63
74;79.0;79.0;79.0;0.63
75;79.0;79.0;79.0;0.63
76;79.0;79.0;79.0;0.63
77;79.0;79.0;79.0;0.63
78;79.0;79.0;79.0;0.63
79;79.0;79.0;79.0;0.63
80;79.0;79.0;79.0;0.63
81;79.0;79.0;79.0;0.63
82;79.0;79.0;79.0;0.63
83;79.0;79.0;79.0;0.63
84;79.0;79.0;79.0;0.63
85;79.0;79.0;79.0;0.63
86;79.0;79.0;79.0;0.63
87;79.0;79.0;79.0;0.63
88;79.0;79.0;79.0;0.63
89;79.0;79.0;79.0;0.63
90;79.0;79.0;79.0;0.63
91;79.0;79.0;79.0;0.63
92;79.0;79.0;79.0;0.63
93;79.0;79.0;79.0;0.63
94;79.0;79.0;79.0;0.63
95;79.0;79.0;79.0;0.63
96;79.0;79.0;79.0;0.63
97;79.0;79.0;79.0;0.63
98;79.0;79.0;79.0;0.63
99;79.0;79.0;79.0;0.63
100;79.0;79.0;79.0;0.63
